Read Date,kWh,kW
1/1/2020 12:00:00 AM,0.045,0.18
1/1/2020 12:15:00 AM,0.041,0.164
1/1/2020 12:30:00 AM,0.044,0.176
1/1/2020 12:45:00 AM,0.041,0.164
1/1/2020 1:00:00 AM,0.0429,0.1716
1/1/2020 1:15:00 AM,0.0429,0.1716
1/1/2020 1:30:00 AM,0.041,0.164
1/1/2020 1:45:00 AM,0.044,0.176
1/1/2020 2:00:00 AM,0.0429,0.1716
1/1/2020 2:15:00 AM,0.041,0.164
1/1/2020 2:30:00 AM,0.044,0.176
1/1/2020 2:45:00 AM,0.0429,0.1716
1/1/2020 3:00:00 AM,0.042,0.168
1/1/2020 3:15:00 AM,0.045,0.18
1/1/2020 3:30:00 AM,0.041,0.164
1/1/2020 3:45:00 AM,0.045,0.18
1/1/2020 4:00:00 AM,0.044,0.176
1/1/2020 4:15:00 AM,0.041,0.164
1/1/2020 4:30:00 AM,0.0429,0.1716
1/1/2020 4:45:00 AM,0.0429,0.1716
1/1/2020 5:00:00 AM,0.042,0.168
1/1/2020 5:15:00 AM,0.0429,0.1716
1/1/2020 5:30:00 AM,0.045,0.18
1/1/2020 5:45:00 AM,0.041,0.164
1/1/2020 6:00:00 AM,0.046,0.184
1/1/2020 6:15:00 AM,0.046,0.184
1/1/2020 6:30:00 AM,0.046,0.184
1/1/2020 6:45:00 AM,0.045,0.18
1/1/2020 7:00:00 AM,0.041,0.164
1/1/2020 7:15:00 AM,0.041,0.164
1/1/2020 7:30:00 AM,0.045,0.18
1/1/2020 7:45:00 AM,0.041,0.164
1/1/2020 8:00:00 AM,0.041,0.164
1/1/2020 8:15:00 AM,0.04,0.16
1/1/2020 8:30:00 AM,0.041,0.164
1/1/2020 8:45:00 AM,0.0429,0.1716
1/1/2020 9:00:00 AM,0.041,0.164
1/1/2020 9:15:00 AM,0.041,0.164
1/1/2020 9:30:00 AM,0.046,0.184
1/1/2020 9:45:00 AM,0.044,0.176
1/1/2020 10:00:00 AM,0.039,0.156
1/1/2020 10:15:00 AM,0.048,0.192
1/1/2020 10:30:00 AM,0.044,0.176
1/1/2020 10:45:00 AM,0.041,0.164
1/1/2020 11:00:00 AM,0.045,0.18
1/1/2020 11:15:00 AM,0.05,0.2
1/1/2020 11:30:00 AM,0.045,0.18
1/1/2020 11:45:00 AM,0.042,0.168
1/1/2020 12:00:00 PM,0.044,0.176
1/1/2020 12:15:00 PM,0.048,0.192
1/1/2020 12:30:00 PM,0.045,0.18
1/1/2020 12:45:00 PM,0.046,0.184
1/1/2020 1:00:00 PM,0.039,0.156
1/1/2020 1:15:00 PM,0.046,0.184
1/1/2020 1:30:00 PM,0.044,0.176
1/1/2020 1:45:00 PM,0.041,0.164
1/1/2020 2:00:00 PM,0.04,0.16
1/1/2020 2:15:00 PM,0.049,0.196
1/1/2020 2:30:00 PM,0.045,0.18
1/1/2020 2:45:00 PM,0.04,0.16
1/1/2020 3:00:00 PM,0.0429,0.1716
1/1/2020 3:15:00 PM,0.048,0.192
1/1/2020 3:30:00 PM,0.045,0.18
1/1/2020 3:45:00 PM,0.042,0.168
1/1/2020 4:00:00 PM,0.0429,0.1716
1/1/2020 4:15:00 PM,0.047,0.188
1/1/2020 4:30:00 PM,0.045,0.18
1/1/2020 4:45:00 PM,0.045,0.18
1/1/2020 5:00:00 PM,0.045,0.18
1/1/2020 5:15:00 PM,0.0429,0.1716
1/1/2020 5:30:00 PM,0.048,0.192
1/1/2020 5:45:00 PM,0.047,0.188
1/1/2020 6:00:00 PM,0.044,0.176
1/1/2020 6:15:00 PM,0.046,0.184
1/1/2020 6:30:00 PM,0.046,0.184
1/1/2020 6:45:00 PM,0.039,0.156
1/1/2020 7:00:00 PM,0.0429,0.1716
1/1/2020 7:15:00 PM,0.046,0.184
1/1/2020 7:30:00 PM,0.047,0.188
1/1/2020 7:45:00 PM,0.054,0.216
1/1/2020 8:00:00 PM,0.048,0.192
1/1/2020 8:15:00 PM,0.05,0.2
1/1/2020 8:30:00 PM,0.0509,0.2036
1/1/2020 8:45:00 PM,0.049,0.196
1/1/2020 9:00:00 PM,0.049,0.196
1/1/2020 9:15:00 PM,0.048,0.192
1/1/2020 9:30:00 PM,0.045,0.18
1/1/2020 9:45:00 PM,0.0429,0.1716
1/1/2020 10:00:00 PM,0.049,0.196
1/1/2020 10:15:00 PM,0.049,0.196
1/1/2020 10:30:00 PM,0.045,0.18
1/1/2020 10:45:00 PM,0.048,0.192
1/1/2020 11:00:00 PM,0.045,0.18
1/1/2020 11:15:00 PM,0.045,0.18
1/1/2020 11:30:00 PM,0.046,0.184
1/1/2020 11:45:00 PM,0.042,0.168
1/2/2020 12:00:00 AM,0.045,0.18
