,day,kWh,kW,occupied,kw_per_person,kw_per_sq_ft,week,Date,max_temp,min_temp,average_temp
0,0,991.8840,44.64,0.0,0.43764705882352944,1.2481825299183535,0,2020-01-01,49.1,35.2,41.1
1,1,930.1320,43.68,0.0,0.42823529411764705,1.2213398948663459,0,2020-01-02,53.1,38.3,46.7
2,2,862.2360,40.32,0.0,0.39529411764705885,1.1273906721843194,0,2020-01-03,54.7,51.3,53.1
3,3,"1,003.2240",59.52,0.0,0.583529411764706,1.6642433732244715,0,2020-01-04,50.8,36.1,41.8
4,4,"1,217.2321",66.24,1.0,0.6494117647058824,1.8521418185885246,0,2020-01-05,48.8,31.1,39.7
5,5,"1,113.5880",64.8,1.0,0.6352941176470588,1.811877866010513,0,2020-01-06,49.0,30.0,38.9
6,6,"1,208.7000",67.632,1.0,0.6630588235294118,1.8910636394139357,0,2020-01-07,50.1,35.2,41.2
7,7,"1,278.5520",73.44,1.0,0.72,2.0534615814785817,1,2020-01-08,47.5,33.3,39.5
8,8,"1,184.5081",62.4,1.0,0.6117647058823529,1.744771278380494,1,2020-01-09,59.3,31.8,46.6
9,9,"1,018.5360",56.16,1.0,0.5505882352941176,1.5702941505424446,1,2020-01-10,66.2,56.3,60.6
10,10,"1,038.7560",61.92,1.0,0.6070588235294118,1.7313499608544904,1,2020-01-11,72.4,50.5,63.5
11,11,"1,190.9280",67.632,1.0,0.6630588235294118,1.8910636394139357,1,2020-01-12,48.4,39.1,43.2
12,12,"1,100.2080",62.88,1.0,0.6164705882352941,1.7581925959064981,1,2020-01-13,48.7,36.2,41.8
13,13,"1,059.6000",68.592,1.0,0.6724705882352942,1.9179062744659432,1,2020-01-14,55.4,40.1,49.8
14,14,"1,079.5560",60.48,1.0,0.5929411764705882,1.691086008276479,2,2020-01-15,67.0,36.5,52.2
15,15,"1,283.9880",78.24,1.0,0.7670588235294117,2.1876747567386197,2,2020-01-16,48.3,30.7,41.0
16,16,"1,532.1720",83.472,1.0,0.8183529411764705,2.333967117772061,2,2020-01-17,37.2,25.8,31.4
17,17,"1,485.6479",81.6,1.0,0.7999999999999999,2.281623979420646,2,2020-01-18,53.1,37.9,46.6
18,18,"1,732.3800",95.04,1.0,0.931764705882353,2.6574208701487527,2,2020-01-19,35.7,17.3,25.0
19,19,"1,794.9840",96.48,1.0,0.9458823529411765,2.6976848227267642,2,2020-01-20,26.9,15.5,21.0
20,20,"1,653.2880",82.512,1.0,0.8089411764705883,2.3071244827200537,2,2020-01-21,32.4,21.5,26.2
21,21,"1,663.7880",83.472,1.0,0.8183529411764705,2.333967117772061,3,2020-01-22,41.7,16.6,28.9
22,22,"1,473.2040",76.32,1.0,0.748235294117647,2.1339894866346043,3,2020-01-23,49.9,33.1,40.2
23,23,"1,388.3640",72.48,1.0,0.7105882352941176,2.026618946426574,3,2020-01-24,49.6,41.3,44.9
24,24,"1,521.0480",79.2,1.0,0.7764705882352941,2.2145173917906273,3,2020-01-25,40.1,34.3,36.5
25,25,"1,508.9280",76.8,1.0,0.7529411764705882,2.147410804160608,3,2020-01-26,44.8,33.1,38.1
26,26,"1,515.3240",79.68,1.0,0.7811764705882354,2.227938709316631,3,2020-01-27,46.9,33.5,40.1
27,27,"1,469.7000",76.8,1.0,0.7529411764705882,2.147410804160608,3,2020-01-28,36.7,32.5,34.8
28,28,"1,428.8040",72.0,1.0,0.7058823529411765,2.01319762890057,4,2020-01-29,37.6,31.6,34.6
29,29,"1,402.8719",71.04,1.0,0.6964705882352942,1.9863549938485627,4,2020-01-30,43.4,30.3,36.5
30,30,"1,356.9480",65.28,1.0,0.64,1.825299183536517,4,2020-01-31,41.5,34.8,37.9
31,31,"1,372.9200",72.48,1.0,0.7105882352941176,2.026618946426574,4,2020-02-01,42.3,35.9,38.6
32,32,"1,350.5880",70.56,1.0,0.691764705882353,1.972933676322559,4,2020-02-02,62.4,31.7,45.6
33,33,"1,090.1639",54.72,1.0,0.5364705882352941,1.5300301979644333,4,2020-02-03,65.5,45.1,55.7
34,34,"1,101.5280",60.96,1.0,0.5976470588235294,1.7045073258024828,4,2020-02-04,62.8,42.0,55.4
35,35,"1,163.7120",61.92,1.0,0.6070588235294118,1.7313499608544904,5,2020-02-05,39.2,33.8,36.0
36,36,"1,224.1801",69.12,1.0,0.6776470588235295,1.9326697237445476,5,2020-02-06,37.1,31.1,35.1
37,37,"1,428.3960",85.44,1.0,0.8376470588235294,2.388994519628677,5,2020-02-07,31.2,25.6,28.7
38,38,"1,518.0480",78.24,1.0,0.7670588235294117,2.1876747567386197,5,2020-02-08,37.2,27.2,31.6
39,39,"1,563.7440",80.64,1.0,0.7905882352941177,2.254781344368639,5,2020-02-09,49.9,21.8,36.4
40,40,"1,441.8721",74.4,1.0,0.7294117647058824,2.0803042165305894,5,2020-02-10,51.1,42.0,47.5
41,41,"1,497.4440",81.6,1.0,0.7999999999999999,2.281623979420646,5,2020-02-11,41.0,35.1,37.9
42,42,"1,472.9640",81.6,1.0,0.7999999999999999,2.281623979420646,6,2020-02-12,38.4,31.5,35.7
43,43,"1,523.1000",81.6,1.0,0.7999999999999999,2.281623979420646,6,2020-02-13,37.6,24.4,34.8
44,44,"1,636.9561",82.992,1.0,0.8136470588235295,2.3205458002460575,6,2020-02-14,25.2,15.8,19.9
45,45,"1,567.9080",84.48,1.0,0.8282352941176471,2.362151884576669,6,2020-02-15,45.5,13.7,29.4
46,46,"1,505.2560",81.6,1.0,0.7999999999999999,2.281623979420646,6,2020-02-16,49.2,33.7,42.4
47,47,"1,247.2080",69.6,1.0,0.6823529411764705,1.946091041270551,6,2020-02-17,54.9,31.3,43.7
48,48,"1,157.7960",69.6,1.0,0.6823529411764705,1.946091041270551,6,2020-02-18,55.4,37.5,48.8
49,49,"1,170.1560",65.76,1.0,0.6447058823529412,1.838720501062521,7,2020-02-19,45.2,27.5,35.8
50,50,"1,419.6121",88.8,1.0,0.8705882352941177,2.4829437423107033,7,2020-02-20,37.7,22.9,32.1
51,51,"1,601.6880",79.2,1.0,0.7764705882352941,2.2145173917906273,7,2020-02-21,36.7,15.2,25.3
52,52,"1,487.5081",77.76,1.0,0.7623529411764707,2.174253439212616,7,2020-02-22,48.6,19.2,33.3
53,53,"1,294.8719",68.112,1.0,0.6677647058823529,1.9044849569399394,7,2020-02-23,56.7,28.3,41.7
54,54,"1,156.9800",66.72,1.0,0.6541176470588235,1.8655631361145284,7,2020-02-24,45.5,41.0,43.8
