Read Date,kWh,kW
"1/1/2020 12:00:00 AM","991.8840","44.6400"
"1/2/2020 12:00:00 AM","930.1320","43.6800"
"1/3/2020 12:00:00 AM","862.2360","40.3200"
"1/4/2020 12:00:00 AM","1,003.2240","59.5200"
"1/5/2020 12:00:00 AM","1,217.2321","66.2400"
"1/6/2020 12:00:00 AM","1,113.5880","64.8000"
"1/7/2020 12:00:00 AM","1,208.7000","67.6320"
"1/8/2020 12:00:00 AM","1,278.5520","73.4400"
"1/9/2020 12:00:00 AM","1,184.5081","62.4000"
"1/10/2020 12:00:00 AM","1,018.5360","56.1600"
"1/11/2020 12:00:00 AM","1,038.7560","61.9200"
"1/12/2020 12:00:00 AM","1,190.9280","67.6320"
"1/13/2020 12:00:00 AM","1,100.2080","62.8800"
"1/14/2020 12:00:00 AM","1,059.6000","68.5920"
"1/15/2020 12:00:00 AM","1,079.5560","60.4800"
"1/16/2020 12:00:00 AM","1,283.9880","78.2400"
"1/17/2020 12:00:00 AM","1,532.1720","83.4720"
"1/18/2020 12:00:00 AM","1,485.6479","81.6000"
"1/19/2020 12:00:00 AM","1,732.3800","95.0400"
"1/20/2020 12:00:00 AM","1,794.9840","96.4800"
"1/21/2020 12:00:00 AM","1,653.2880","82.5120"
"1/22/2020 12:00:00 AM","1,663.7880","83.4720"
"1/23/2020 12:00:00 AM","1,473.2040","76.3200"
"1/24/2020 12:00:00 AM","1,388.3640","72.4800"
"1/25/2020 12:00:00 AM","1,521.0480","79.2000"
"1/26/2020 12:00:00 AM","1,508.9280","76.8000"
"1/27/2020 12:00:00 AM","1,515.3240","79.6800"
"1/28/2020 12:00:00 AM","1,469.7000","76.8000"
"1/29/2020 12:00:00 AM","1,428.8040","72.0000"
"1/30/2020 12:00:00 AM","1,402.8719","71.0400"
"1/31/2020 12:00:00 AM","1,356.9480","65.2800"
"2/1/2020 12:00:00 AM","1,372.9200","72.4800"
"2/2/2020 12:00:00 AM","1,350.5880","70.5600"
"2/3/2020 12:00:00 AM","1,090.1639","54.7200"
"2/4/2020 12:00:00 AM","1,101.5280","60.9600"
"2/5/2020 12:00:00 AM","1,163.7120","61.9200"
"2/6/2020 12:00:00 AM","1,224.1801","69.1200"
"2/7/2020 12:00:00 AM","1,428.3960","85.4400"
"2/8/2020 12:00:00 AM","1,518.0480","78.2400"
"2/9/2020 12:00:00 AM","1,563.7440","80.6400"
"2/10/2020 12:00:00 AM","1,441.8721","74.4000"
"2/11/2020 12:00:00 AM","1,497.4440","81.6000"
"2/12/2020 12:00:00 AM","1,472.9640","81.6000"
"2/13/2020 12:00:00 AM","1,523.1000","81.6000"
"2/14/2020 12:00:00 AM","1,636.9561","82.9920"
"2/15/2020 12:00:00 AM","1,567.9080","84.4800"
"2/16/2020 12:00:00 AM","1,505.2560","81.6000"
"2/17/2020 12:00:00 AM","1,247.2080","69.6000"
