,day,kWh,kW,occupied,kw_per_person,kw_per_sq_ft,week,Date,max_temp,min_temp,average_temp
0,0,765.0720,39.84,0.0,0.3212903225806452,0.8406127357893405,0,2020-01-01,49.1,35.2,41.1
1,1,721.3680,44.64,0.0,0.36,0.9418913786555261,0,2020-01-02,53.1,38.3,46.7
2,2,736.1640,40.8,0.0,0.3290322580645161,0.8608684643625775,0,2020-01-04,50.8,36.1,41.8
3,3,822.1680,46.56,0.0,0.37548387096774194,0.9824028358020004,0,2020-01-05,48.8,31.1,39.7
4,4,"1,012.2360",59.04,1.0,0.4761290322580645,1.2457273072540829,0,2020-01-06,49.0,30.0,38.9
5,5,"1,084.2960",68.592,1.0,0.5531612903225807,1.447271806557792,0,2020-01-07,50.1,35.2,41.2
6,6,"1,118.6760",70.56,1.0,0.5690322580645162,1.4887960501329283,0,2020-01-08,47.5,33.3,39.5
7,7,"1,116.1560",66.72,1.0,0.5380645161290323,1.4077731358399799,1,2020-01-09,59.3,31.8,46.6
8,8,"1,030.2360",65.76,1.0,0.5303225806451614,1.3875174072667429,1,2020-01-10,66.2,56.3,60.6
9,9,984.1800,57.12,1.0,0.46064516129032257,1.2052158501076085,1,2020-01-11,72.4,50.5,63.5
10,10,"1,083.6840",67.632,1.0,0.5454193548387097,1.427016077984555,1,2020-01-12,48.4,39.1,43.2
11,11,"1,129.2720",66.72,1.0,0.5380645161290323,1.4077731358399799,1,2020-01-13,48.7,36.2,41.8
12,12,"1,066.7040",68.112,1.0,0.5492903225806451,1.4371439422711736,1,2020-01-14,55.4,40.1,49.8
13,13,"1,015.5840",70.08,1.0,0.5651612903225807,1.4786681858463098,1,2020-01-15,67.0,36.5,52.2
14,14,"1,090.1400",80.16,1.0,0.6464516129032257,1.6913533358652995,2,2020-01-16,48.3,30.7,41.0
15,15,"1,261.3680",76.32,1.0,0.6154838709677419,1.6103304215723508,2,2020-01-17,37.2,25.8,31.4
16,16,"1,136.7841",67.632,1.0,0.5454193548387097,1.427016077984555,2,2020-01-18,53.1,37.9,46.6
17,17,"1,310.0400",90.72,1.0,0.7316129032258064,1.9141663501709079,2,2020-01-19,35.7,17.3,25.0
18,18,"1,447.7040",81.6,1.0,0.6580645161290322,1.721736928725155,2,2020-01-20,26.9,15.5,21.0
19,19,"1,355.9399",81.6,1.0,0.6580645161290322,1.721736928725155,2,2020-01-21,32.4,21.5,26.2
20,20,"1,245.3000",75.84,1.0,0.6116129032258065,1.6002025572857326,2,2020-01-22,41.7,16.6,28.9
21,21,"1,188.4320",72.96,1.0,0.5883870967741935,1.539435371566021,3,2020-01-23,49.9,33.1,40.2
22,22,"1,116.6600",80.16,1.0,0.6464516129032257,1.6913533358652995,3,2020-01-24,49.6,41.3,44.9
23,23,"1,166.3760",70.56,1.0,0.5690322580645162,1.4887960501329283,3,2020-01-25,40.1,34.3,36.5
24,24,"1,162.5480",78.72,1.0,0.6348387096774194,1.6609697430054438,3,2020-01-26,44.8,33.1,38.1
25,25,"1,230.0840",72.96,1.0,0.5883870967741935,1.539435371566021,3,2020-01-27,46.9,33.5,40.1
26,26,"1,241.4600",69.6,1.0,0.5612903225806452,1.468540321559691,3,2020-01-28,36.7,32.5,34.8
27,27,"1,069.3560",63.84,1.0,0.5148387096774194,1.3470059501202685,3,2020-01-29,37.6,31.6,34.6
28,28,978.6120,52.8,1.0,0.4258064516129032,1.1140650715280416,4,2020-01-30,43.4,30.3,36.5
29,29,994.2960,62.4,1.0,0.5032258064516129,1.3166223572604128,4,2020-01-31,41.5,34.8,37.9
30,30,986.5320,63.84,1.0,0.5148387096774194,1.3470059501202685,4,2020-02-01,42.3,35.9,38.6
31,31,"1,003.3080",56.64,1.0,0.4567741935483871,1.19508798582099,4,2020-02-02,62.4,31.7,45.6
32,32,952.2960,66.72,1.0,0.5380645161290323,1.4077731358399799,4,2020-02-03,65.5,45.1,55.7
33,33,"1,024.2841",67.2,1.0,0.5419354838709678,1.4179010001265984,4,2020-02-04,62.8,42.0,55.4
34,34,"1,178.6400",77.76,1.0,0.6270967741935485,1.6407140144322068,4,2020-02-05,39.2,33.8,36.0
35,35,"1,198.8120",72.0,1.0,0.5806451612903226,1.519179642992784,5,2020-02-06,37.1,31.1,35.1
36,36,"1,253.1600",73.44,1.0,0.5922580645161291,1.5495632358526397,5,2020-02-07,31.2,25.6,28.7
37,37,"1,354.8960",78.72,1.0,0.6348387096774194,1.6609697430054438,5,2020-02-08,37.2,27.2,31.6
38,38,"1,244.6639",73.92,1.0,0.5961290322580646,1.5596911001392582,5,2020-02-09,49.9,21.8,36.4
39,39,"1,197.0360",80.64,1.0,0.6503225806451612,1.701481200151918,5,2020-02-10,51.1,42.0,47.5
40,40,"1,231.9561",80.64,1.0,0.6503225806451612,1.701481200151918,5,2020-02-11,41.0,35.1,37.9
41,41,"1,251.6360",77.28,1.0,0.623225806451613,1.630586150145588,5,2020-02-12,38.4,31.5,35.7
42,42,"1,293.7321",80.16,1.0,0.6464516129032257,1.6913533358652995,6,2020-02-13,37.6,24.4,34.8
43,43,"1,394.4360",88.8,1.0,0.7161290322580645,1.8736548930244334,6,2020-02-14,25.2,15.8,19.9
44,44,"1,344.8040",86.4,1.0,0.6967741935483871,1.8230155715913408,6,2020-02-15,45.5,13.7,29.4
45,45,"1,261.3080",80.16,1.0,0.6464516129032257,1.6913533358652995,6,2020-02-16,49.2,33.7,42.4
46,46,"1,217.3521",73.92,1.0,0.5961290322580646,1.5596911001392582,6,2020-02-17,54.9,31.3,43.7
47,47,"1,217.1121",89.76,1.0,0.7238709677419355,1.8939106215976709,6,2020-02-18,55.4,37.5,48.8
48,48,"1,244.0400",78.24,1.0,0.6309677419354839,1.650841878718825,6,2020-02-19,45.2,27.5,35.8
49,49,"1,305.0720",78.24,1.0,0.6309677419354839,1.650841878718825,7,2020-02-20,37.7,22.9,32.1
50,50,"1,336.4520",82.08,1.0,0.6619354838709677,1.7318647930117737,7,2020-02-21,36.7,15.2,25.3
51,51,"1,303.1281",84.48,1.0,0.6812903225806451,1.7825041144448666,7,2020-02-22,48.6,19.2,33.3
52,52,"1,247.5920",76.32,1.0,0.6154838709677419,1.6103304215723508,7,2020-02-23,56.7,28.3,41.7
53,53,"1,118.0040",75.36,1.0,0.607741935483871,1.5900746929991139,7,2020-02-24,45.5,41.0,43.8
54,54,"1,137.3840",69.6,1.0,0.5612903225806452,1.468540321559691,7,2020-02-25,52.5,45.9,49.5
55,55,"1,258.9320",82.512,1.0,0.6654193548387097,1.7409798708697304,7,2020-02-26,46.5,29.3,39.3
56,56,"1,311.6360",86.88,1.0,0.7006451612903225,1.8331434358779592,8,2020-02-27,36.1,25.8,30.3
57,57,"1,294.3680",84.96,1.0,0.6851612903225806,1.7926319787314848,8,2020-02-28,39.5,30.4,34.4
58,58,"1,353.9120",84.48,1.0,0.6812903225806451,1.7825041144448666,8,2020-02-29,38.5,19.1,29.1
59,59,"1,296.2760",78.24,1.0,0.6309677419354839,1.650841878718825,8,2020-03-01,63.0,25.2,44.5
60,60,"1,173.6960",85.92,1.0,0.6929032258064516,1.8128877073047223,8,2020-03-02,56.6,47.7,52.4
61,61,"1,176.4080",82.08,1.0,0.6619354838709677,1.7318647930117737,8,2020-03-03,58.0,44.7,52.6
62,62,"1,161.3960",67.632,1.0,0.5454193548387097,1.427016077984555,8,2020-03-04,61.9,33.0,48.1
