Read Date,kWh,kW
"1/1/2020 12:00:00 AM","765.0720","39.8400"
"1/2/2020 12:00:00 AM","721.3680","44.6400"
"1/4/2020 12:00:00 AM","736.1640","40.8000"
"1/5/2020 12:00:00 AM","822.1680","46.5600"
"1/6/2020 12:00:00 AM","1,012.2360","59.0400"
"1/7/2020 12:00:00 AM","1,084.2960","68.5920"
"1/8/2020 12:00:00 AM","1,118.6760","70.5600"
"1/9/2020 12:00:00 AM","1,116.1560","66.7200"
"1/10/2020 12:00:00 AM","1,030.2360","65.7600"
"1/11/2020 12:00:00 AM","984.1800","57.1200"
"1/12/2020 12:00:00 AM","1,083.6840","67.6320"
"1/13/2020 12:00:00 AM","1,129.2720","66.7200"
"1/14/2020 12:00:00 AM","1,066.7040","68.1120"
"1/15/2020 12:00:00 AM","1,015.5840","70.0800"
"1/16/2020 12:00:00 AM","1,090.1400","80.1600"
"1/17/2020 12:00:00 AM","1,261.3680","76.3200"
"1/18/2020 12:00:00 AM","1,136.7841","67.6320"
"1/19/2020 12:00:00 AM","1,310.0400","90.7200"
"1/20/2020 12:00:00 AM","1,447.7040","81.6000"
"1/21/2020 12:00:00 AM","1,355.9399","81.6000"
"1/22/2020 12:00:00 AM","1,245.3000","75.8400"
"1/23/2020 12:00:00 AM","1,188.4320","72.9600"
"1/24/2020 12:00:00 AM","1,116.6600","80.1600"
"1/25/2020 12:00:00 AM","1,166.3760","70.5600"
"1/26/2020 12:00:00 AM","1,162.5480","78.7200"
"1/27/2020 12:00:00 AM","1,230.0840","72.9600"
"1/28/2020 12:00:00 AM","1,241.4600","69.6000"
"1/29/2020 12:00:00 AM","1,069.3560","63.8400"
"1/30/2020 12:00:00 AM","978.6120","52.8000"
"1/31/2020 12:00:00 AM","994.2960","62.4000"
"2/1/2020 12:00:00 AM","986.5320","63.8400"
"2/2/2020 12:00:00 AM","1,003.3080","56.6400"
"2/3/2020 12:00:00 AM","952.2960","66.7200"
"2/4/2020 12:00:00 AM","1,024.2841","67.2000"
"2/5/2020 12:00:00 AM","1,178.6400","77.7600"
"2/6/2020 12:00:00 AM","1,198.8120","72.0000"
"2/7/2020 12:00:00 AM","1,253.1600","73.4400"
"2/8/2020 12:00:00 AM","1,354.8960","78.7200"
"2/9/2020 12:00:00 AM","1,244.6639","73.9200"
"2/10/2020 12:00:00 AM","1,197.0360","80.6400"
"2/11/2020 12:00:00 AM","1,231.9561","80.6400"
"2/12/2020 12:00:00 AM","1,251.6360","77.2800"
"2/13/2020 12:00:00 AM","1,293.7321","80.1600"
"2/14/2020 12:00:00 AM","1,394.4360","88.8000"
"2/15/2020 12:00:00 AM","1,344.8040","86.4000"
"2/16/2020 12:00:00 AM","1,261.3080","80.1600"
"2/17/2020 12:00:00 AM","1,217.3521","73.9200"
"2/18/2020 12:00:00 AM","1,217.1121","89.7600"
"2/19/2020 12:00:00 AM","1,244.0400","78.2400"
"2/20/2020 12:00:00 AM","1,305.0720","78.2400"
"2/21/2020 12:00:00 AM","1,336.4520","82.0800"
"2/22/2020 12:00:00 AM","1,303.1281","84.4800"
"2/23/2020 12:00:00 AM","1,247.5920","76.3200"
"2/24/2020 12:00:00 AM","1,118.0040","75.3600"
"2/25/2020 12:00:00 AM","1,137.3840","69.6000"
"2/26/2020 12:00:00 AM","1,258.9320","82.5120"
"2/27/2020 12:00:00 AM","1,311.6360","86.8800"
"2/28/2020 12:00:00 AM","1,294.3680","84.9600"
"2/29/2020 12:00:00 AM","1,353.9120","84.4800"
"3/1/2020 12:00:00 AM","1,296.2760","78.2400"
"3/2/2020 12:00:00 AM","1,173.6960","85.9200"
"3/3/2020 12:00:00 AM","1,176.4080","82.0800"
"3/4/2020 12:00:00 AM","1,161.3960","67.6320"
"3/5/2020 12:00:00 AM","1,227.5040","84.4800"
"3/6/2020 12:00:00 AM","1,304.6641","74.8800"
"3/7/2020 12:00:00 AM","1,309.0920","92.6400"
"3/8/2020 12:00:00 AM","1,242.8640","87.3600"
"3/9/2020 12:00:00 AM","1,201.5000","81.1200"
"3/10/2020 12:00:00 AM","1,181.4600","77.2800"
"3/11/2020 12:00:00 AM","1,110.5280","77.2800"
"3/12/2020 12:00:00 AM","1,159.7159","73.9200"
"3/13/2020 12:00:00 AM","1,164.7920","82.0800"
"3/14/2020 12:00:00 AM","1,299.1320","86.8800"
"3/15/2020 12:00:00 AM","1,316.3160","79.2000"
"3/16/2020 12:00:00 AM","1,360.9080","92.1600"
"3/17/2020 12:00:00 AM","1,007.7960","69.1200"
"3/18/2020 12:00:00 AM","798.9120","47.0400"
"3/19/2020 12:00:00 AM","674.3640","38.4000"
"3/20/2020 12:00:00 AM","644.9040","33.6000"
"3/21/2020 12:00:00 AM","808.8480","51.3600"
"3/22/2020 12:00:00 AM","860.4600","45.1200"
"3/23/2020 12:00:00 AM","778.8600","42.7200"
"3/24/2020 12:00:00 AM","807.4440","46.5600"
"3/25/2020 12:00:00 AM","753.6360","44.1600"
"3/26/2020 12:00:00 AM","803.5560","58.0800"
"3/27/2020 12:00:00 AM","860.9280","59.0400"
"3/28/2020 12:00:00 AM","845.0400","54.7200"
"3/29/2020 12:00:00 AM","837.4800","48.9120"
"3/30/2020 12:00:00 AM","838.1160","60.0000"
"3/31/2020 12:00:00 AM","961.8360","56.6400"
"4/1/2020 12:00:00 AM","1,063.2000","55.6800"
"4/2/2020 12:00:00 AM","961.9200","52.8000"
"4/3/2020 12:00:00 AM","895.6680","55.2000"
"4/4/2020 12:00:00 AM","813.7800","48.0000"
"4/5/2020 12:00:00 AM","811.0440","46.0800"
"4/6/2020 12:00:00 AM","869.9640","55.6800"
"4/7/2020 12:00:00 AM","829.2600","49.9200"
"4/8/2020 12:00:00 AM","828.9240","51.8400"
"4/9/2020 12:00:00 AM","884.3400","59.0400"
"4/10/2020 12:00:00 AM","951.0480","64.3200"
"4/11/2020 12:00:00 AM","915.2520","50.4000"
"4/12/2020 12:00:00 AM","880.3440","51.8400"
"4/13/2020 12:00:00 AM","919.3680","56.1600"
"4/14/2020 12:00:00 AM","1,042.4160","53.7600"
"4/15/2020 12:00:00 AM","1,019.6040","58.0800"
"4/16/2020 12:00:00 AM","993.7320","53.2800"
"4/17/2020 12:00:00 AM","948.2400","52.8000"
"4/18/2020 12:00:00 AM","1,013.1000","61.9200"
"4/19/2020 12:00:00 AM","908.5920","49.4400"
"4/20/2020 12:00:00 AM","849.4680","48.9120"
"4/21/2020 12:00:00 AM","820.3560","49.9200"
"4/22/2020 12:00:00 AM","824.3880","52.8000"
"4/23/2020 12:00:00 AM","829.7040","47.0400"
"4/24/2020 12:00:00 AM","814.8360","43.6800"
"4/25/2020 12:00:00 AM","860.3040","48.9120"
"4/26/2020 12:00:00 AM","934.6440","53.2800"
"4/27/2020 12:00:00 AM","947.9280","55.6800"
"4/28/2020 12:00:00 AM","835.8720","58.5600"
"4/29/2020 12:00:00 AM","813.1560","49.4400"
"4/30/2020 12:00:00 AM","933.0600","55.6800"
"5/1/2020 12:00:00 AM","887.4360","48.9120"
"5/2/2020 12:00:00 AM","831.8760","53.2800"
"5/3/2020 12:00:00 AM","808.3920","46.5600"
"5/4/2020 12:00:00 AM","785.1360","49.9200"
"5/5/2020 12:00:00 AM","832.6080","52.3200"
"5/6/2020 12:00:00 AM","879.9240","45.1200"
"5/7/2020 12:00:00 AM","872.3160","51.3600"
"5/8/2020 12:00:00 AM","857.2680","50.4000"
"5/9/2020 12:00:00 AM","980.6040","51.8400"
"5/10/2020 12:00:00 AM","863.9400","48.4800"
"5/11/2020 12:00:00 AM","931.4640","54.2400"
"5/12/2020 12:00:00 AM","865.5960","52.8000"
"5/13/2020 12:00:00 AM","848.1000","47.0400"
"5/14/2020 12:00:00 AM","789.9720","47.5200"
"5/15/2020 12:00:00 AM","765.8160","43.6800"
"5/16/2020 12:00:00 AM","799.9800","46.5600"
"5/17/2020 12:00:00 AM","835.2360","48.0000"
"5/18/2020 12:00:00 AM","820.5960","46.0800"
"5/19/2020 12:00:00 AM","825.5280","54.7200"
"5/20/2020 12:00:00 AM","869.8920","53.7600"
"5/21/2020 12:00:00 AM","770.3520","49.4400"
"5/22/2020 12:00:00 AM","791.4000","51.8400"
"5/23/2020 12:00:00 AM","835.2600","48.9120"
"5/24/2020 12:00:00 AM","858.1680","49.4400"
"5/25/2020 12:00:00 AM","829.6320","42.2400"
"5/26/2020 12:00:00 AM","867.5040","51.3600"
"5/27/2020 12:00:00 AM","824.0520","50.4000"
"5/28/2020 12:00:00 AM","811.4880","49.4400"
"5/29/2020 12:00:00 AM","817.8720","55.6800"
"5/30/2020 12:00:00 AM","787.3560","50.8800"
"5/31/2020 12:00:00 AM","738.9240","41.2320"
"6/1/2020 12:00:00 AM","-1.7432",""
"6/1/2020 12:00:00 AM","745.3800","44.1600"
"6/2/2020 12:00:00 AM","-1.6812",""
"6/2/2020 12:00:00 AM","839.8200","48.4800"
"6/3/2020 12:00:00 AM","-1.5958",""
"6/3/2020 12:00:00 AM","873.2400","46.5600"
"6/4/2020 12:00:00 AM","-0.9648",""
"6/4/2020 12:00:00 AM","902.5800","52.8000"
"6/5/2020 12:00:00 AM","-1.3963",""
"6/5/2020 12:00:00 AM","862.1640","50.8800"
"6/6/2020 12:00:00 AM","-1.6304",""
"6/6/2020 12:00:00 AM","844.3200","48.4800"
"6/7/2020 12:00:00 AM","-1.6927",""
"6/7/2020 12:00:00 AM","800.4240","41.7120"
"6/8/2020 12:00:00 AM","-1.5389",""
"6/8/2020 12:00:00 AM","729.8760","46.0800"
"6/9/2020 12:00:00 AM","-0.8934",""
"6/9/2020 12:00:00 AM","762.4080","47.0400"
"6/10/2020 12:00:00 AM","-1.3045",""
"6/10/2020 12:00:00 AM","770.2440","43.2000"
"6/11/2020 12:00:00 AM","-1.7149",""
"6/11/2020 12:00:00 AM","728.8320","40.8000"
"6/12/2020 12:00:00 AM","-1.6197",""
"6/12/2020 12:00:00 AM","672.7560","37.4400"
"6/13/2020 12:00:00 AM","-1.5627",""
"6/13/2020 12:00:00 AM","624.9960","30.7200"
"6/14/2020 12:00:00 AM","-1.3304",""
"6/14/2020 12:00:00 AM","608.2320","30.2400"
"6/15/2020 12:00:00 AM","-1.3557",""
"6/15/2020 12:00:00 AM","596.8320","31.2000"
"6/16/2020 12:00:00 AM","-1.4191",""
"6/16/2020 12:00:00 AM","602.1000","30.7200"
"6/17/2020 12:00:00 AM","-1.4913",""
"6/17/2020 12:00:00 AM","626.3760","29.7600"
"6/18/2020 12:00:00 AM","-1.3518",""
