Read Date,kWh,kW
"1/1/2020 12:00:00 AM","26.0753","1.4080"
"1/2/2020 12:00:00 AM","26.6165","1.4920"
"1/4/2020 12:00:00 AM","28.5754","1.9920"
"1/5/2020 12:00:00 AM","25.5676","1.4960"
"1/6/2020 12:00:00 AM","26.4998","1.8560"
"1/7/2020 12:00:00 AM","25.7816","1.3480"
"1/8/2020 12:00:00 AM","26.2434","1.4760"
"1/9/2020 12:00:00 AM","29.4202","2.6560"
"1/10/2020 12:00:00 AM","30.3446","2.1320"
"1/11/2020 12:00:00 AM","33.3084","1.7960"
"1/12/2020 12:00:00 AM","29.8197","2.1000"
"1/13/2020 12:00:00 AM","27.2456","1.8920"
"1/14/2020 12:00:00 AM","27.1345","1.4920"
"1/15/2020 12:00:00 AM","27.7528","1.5400"
"1/16/2020 12:00:00 AM","27.8737","2.3000"
"1/17/2020 12:00:00 AM","25.1652","1.7760"
"1/18/2020 12:00:00 AM","26.0418","1.3400"
"1/19/2020 12:00:00 AM","23.4115","1.2880"
"1/20/2020 12:00:00 AM","21.6134","1.2280"
"1/21/2020 12:00:00 AM","27.4807","2.5440"
"1/22/2020 12:00:00 AM","25.6476","2.1240"
"1/23/2020 12:00:00 AM","27.2664","2.1240"
"1/24/2020 12:00:00 AM","29.2186","2.5320"
"1/25/2020 12:00:00 AM","28.1757","1.6040"
"1/26/2020 12:00:00 AM","25.4177","1.4760"
"1/27/2020 12:00:00 AM","27.7965","2.1920"
"1/28/2020 12:00:00 AM","25.5460","1.6560"
"1/29/2020 12:00:00 AM","26.2115","1.4640"
"1/30/2020 12:00:00 AM","26.9794","1.6920"
"1/31/2020 12:00:00 AM","28.0766","2.3080"
"2/1/2020 12:00:00 AM","27.8646","2.0080"
"2/2/2020 12:00:00 AM","28.0382","2.0440"
"2/3/2020 12:00:00 AM","30.7223","2.1120"
"2/4/2020 12:00:00 AM","29.8695","1.7040"
"2/5/2020 12:00:00 AM","30.6112","2.3480"
"2/6/2020 12:00:00 AM","29.8023","2.1080"
"2/7/2020 12:00:00 AM","25.8946","1.5800"
"2/8/2020 12:00:00 AM","30.0183","1.9920"
"2/9/2020 12:00:00 AM","26.2664","1.5000"
"2/10/2020 12:00:00 AM","30.0583","1.8440"
"2/11/2020 12:00:00 AM","36.3405","2.7440"
"2/12/2020 12:00:00 AM","43.3586","2.6960"
"2/13/2020 12:00:00 AM","29.9291","2.1360"
"2/14/2020 12:00:00 AM","27.1603","2.9560"
"2/15/2020 12:00:00 AM","37.5227","2.9120"
"2/16/2020 12:00:00 AM","35.2703","3.4320"
"2/17/2020 12:00:00 AM","27.6124","2.2556"
"2/18/2020 12:00:00 AM","28.1856","1.9480"
"2/19/2020 12:00:00 AM","26.2724","1.7480"
"2/20/2020 12:00:00 AM","37.0105","4.1920"
"2/21/2020 12:00:00 AM","35.1795","4.3480"
"2/22/2020 12:00:00 AM","48.4173","4.0560"
"2/23/2020 12:00:00 AM","36.1490","3.4160"
"2/24/2020 12:00:00 AM","28.3515","1.6480"
"2/25/2020 12:00:00 AM","28.9524","1.8240"
"2/26/2020 12:00:00 AM","33.6416","3.3240"
"2/27/2020 12:00:00 AM","28.0154","2.1840"
"2/28/2020 12:00:00 AM","28.2130","2.0920"
"2/29/2020 12:00:00 AM","30.1876","2.4160"
"3/1/2020 12:00:00 AM","29.0893","2.0560"
"3/2/2020 12:00:00 AM","29.3981","1.6880"
"3/3/2020 12:00:00 AM","31.9957","2.2440"
"3/4/2020 12:00:00 AM","42.3596","4.1680"
"3/5/2020 12:00:00 AM","29.3823","1.6240"
"3/6/2020 12:00:00 AM","27.0745","1.5200"
"3/7/2020 12:00:00 AM","38.0151","3.2920"
"3/8/2020 12:00:00 AM","33.4343","2.9040"
"3/9/2020 12:00:00 AM","31.5493","1.9640"
"3/10/2020 12:00:00 AM","56.3036","4.7000"
"3/11/2020 12:00:00 AM","31.7055","2.4240"
"3/12/2020 12:00:00 AM","32.9782","2.0960"
"3/13/2020 12:00:00 AM","32.4839","1.8520"
"3/14/2020 12:00:00 AM","28.9423","1.8480"
"3/15/2020 12:00:00 AM","28.5043","1.6440"
"3/16/2020 12:00:00 AM","29.0714","1.7840"
"3/17/2020 12:00:00 AM","29.4084","1.8240"
"3/18/2020 12:00:00 AM","30.3399","1.7160"
"3/19/2020 12:00:00 AM","32.3799","1.8800"
"3/20/2020 12:00:00 AM","33.4314","1.8800"
"3/21/2020 12:00:00 AM","28.6900","1.7080"
"3/22/2020 12:00:00 AM","27.0772","1.5400"
"3/23/2020 12:00:00 AM","28.6999","1.6440"
"3/24/2020 12:00:00 AM","27.5840","1.5760"
"3/25/2020 12:00:00 AM","28.8065","1.7760"
"3/26/2020 12:00:00 AM","31.9086","1.8440"
"3/27/2020 12:00:00 AM","35.3577","2.1000"
"3/28/2020 12:00:00 AM","38.0308","2.1920"
"3/29/2020 12:00:00 AM","35.9713","2.0720"
"3/30/2020 12:00:00 AM","33.1359","1.9520"
"3/31/2020 12:00:00 AM","29.5471","1.7640"
"4/1/2020 12:00:00 AM","30.1321","1.7920"
"4/2/2020 12:00:00 AM","29.6053","1.7200"
"4/3/2020 12:00:00 AM","31.4005","1.9320"
