Read Date,kWh,kW
"1/1/2020 12:00:00 AM","385.8000","29.6000"
"1/2/2020 12:00:00 AM","343.2000","21.6000"
"1/4/2020 12:00:00 AM","346.0000","18.4000"
"1/5/2020 12:00:00 AM","351.4000","18.4000"
"1/6/2020 12:00:00 AM","415.8000","24.8000"
"1/7/2020 12:00:00 AM","425.6000","24.0000"
"1/8/2020 12:00:00 AM","543.8000","41.6000"
"1/9/2020 12:00:00 AM","555.5600","44.8000"
"1/10/2020 12:00:00 AM","598.7800","44.0000"
"1/11/2020 12:00:00 AM","582.3800","42.4000"
"1/12/2020 12:00:00 AM","445.0000","36.0000"
"1/13/2020 12:00:00 AM","560.7600","43.2000"
"1/14/2020 12:00:00 AM","535.4000","36.8000"
"1/15/2020 12:00:00 AM","540.8000","43.2000"
"1/16/2020 12:00:00 AM","550.7800","40.7200"
"1/17/2020 12:00:00 AM","533.8000","36.0000"
"1/18/2020 12:00:00 AM","513.4000","32.8000"
"1/19/2020 12:00:00 AM","550.4000","37.6000"
"1/20/2020 12:00:00 AM","646.0000","44.0000"
"1/21/2020 12:00:00 AM","670.3400","44.0000"
"1/22/2020 12:00:00 AM","750.4600","45.6000"
"1/23/2020 12:00:00 AM","617.8000","40.0000"
"1/24/2020 12:00:00 AM","683.9600","44.8000"
"1/25/2020 12:00:00 AM","688.7400","43.2000"
"1/26/2020 12:00:00 AM","524.0000","35.2000"
"1/27/2020 12:00:00 AM","569.6000","39.2000"
"1/28/2020 12:00:00 AM","471.6000","25.6000"
"1/29/2020 12:00:00 AM","503.4000","30.4000"
"1/30/2020 12:00:00 AM","449.2000","27.2000"
"1/31/2020 12:00:00 AM","522.6000","36.0000"
"2/1/2020 12:00:00 AM","435.2000","28.8000"
"2/2/2020 12:00:00 AM","356.6000","19.2000"
"2/3/2020 12:00:00 AM","414.2000","21.6000"
"2/4/2020 12:00:00 AM","407.2000","26.4000"
"2/5/2020 12:00:00 AM","532.7600","36.0000"
"2/6/2020 12:00:00 AM","512.5800","37.6000"
"2/7/2020 12:00:00 AM","538.1800","40.7200"
"2/8/2020 12:00:00 AM","532.9800","35.2000"
"2/9/2020 12:00:00 AM","525.0000","37.6000"
"2/10/2020 12:00:00 AM","512.2000","36.8000"
"2/11/2020 12:00:00 AM","529.0000","36.8000"
"2/12/2020 12:00:00 AM","569.4000","40.0000"
"2/13/2020 12:00:00 AM","566.6000","39.2000"
"2/14/2020 12:00:00 AM","844.8800","64.8000"
"2/15/2020 12:00:00 AM","805.2600","50.4000"
"2/16/2020 12:00:00 AM","872.7400","52.8000"
"2/17/2020 12:00:00 AM","844.7000","57.6000"
"2/18/2020 12:00:00 AM","771.2000","46.4000"
"2/19/2020 12:00:00 AM","751.7400","44.8000"
"2/20/2020 12:00:00 AM","706.7000","44.0000"
"2/21/2020 12:00:00 AM","651.3600","44.8000"
"2/22/2020 12:00:00 AM","580.1800","36.0000"
"2/23/2020 12:00:00 AM","586.0000","38.4000"
"2/24/2020 12:00:00 AM","882.5400","53.6000"
"2/25/2020 12:00:00 AM","876.1400","51.2000"
"2/26/2020 12:00:00 AM","892.0800","52.8000"
"2/27/2020 12:00:00 AM","708.3200","44.8000"
"2/28/2020 12:00:00 AM","631.8000","41.6000"
"2/29/2020 12:00:00 AM","673.5000","40.7200"
"3/1/2020 12:00:00 AM","616.5600","43.2000"
"3/2/2020 12:00:00 AM","643.9400","47.2000"
"3/3/2020 12:00:00 AM","642.1800","49.6000"
"3/4/2020 12:00:00 AM","653.9400","50.4000"
"3/5/2020 12:00:00 AM","622.0000","44.8000"
"3/6/2020 12:00:00 AM","591.9800","41.6000"
"3/7/2020 12:00:00 AM","412.8000","22.4000"
"3/8/2020 12:00:00 AM","477.2000","38.4000"
"3/9/2020 12:00:00 AM","654.3400","41.6000"
"3/10/2020 12:00:00 AM","636.6400","44.0000"
"3/11/2020 12:00:00 AM","557.2000","36.0000"
"3/12/2020 12:00:00 AM","630.3400","43.2000"
"3/13/2020 12:00:00 AM","577.8000","41.6000"
"3/14/2020 12:00:00 AM","483.8000","26.4000"
"3/15/2020 12:00:00 AM","421.4000","20.8000"
"3/16/2020 12:00:00 AM","452.6000","23.2000"
"3/17/2020 12:00:00 AM","431.2000","22.4000"
"3/18/2020 12:00:00 AM","367.0000","20.8000"
"3/19/2020 12:00:00 AM","300.4000","14.4000"
"3/20/2020 12:00:00 AM","301.2000","14.4000"
