Read Date,kWh,kW
11/14/2019 10:15,6,24
11/14/2019 10:30,8.58,34.32
11/14/2019 10:45,10.8,43.2
11/14/2019 11:00,8.4,33.6
11/14/2019 11:15,8.8,35.2
11/14/2019 11:30,9.4,37.6
11/14/2019 11:45,9,36
11/14/2019 12:00,8.4,33.6
11/14/2019 12:15,8.4,33.6
11/14/2019 12:30,8.58,34.32
11/14/2019 12:45,8.58,34.32
11/14/2019 13:00,8.8,35.2
11/14/2019 13:15,8.8,35.2
11/14/2019 13:30,9.2,36.8
11/14/2019 13:45,8.8,35.2
11/14/2019 14:00,8.58,34.32
11/14/2019 14:15,8.8,35.2
11/14/2019 14:30,8.58,34.32
11/14/2019 14:45,9.2,36.8
11/14/2019 15:00,8.4,33.6
11/14/2019 15:15,8.8,35.2
11/14/2019 15:30,8.8,35.2
11/14/2019 15:45,8,32
11/14/2019 16:00,8,32
11/14/2019 16:15,8,32
11/14/2019 16:30,7.8,31.2
11/14/2019 16:45,8,32
11/14/2019 17:00,8,32
11/14/2019 17:15,8,32
11/14/2019 17:30,7.8,31.2
11/14/2019 17:45,8,32
11/14/2019 18:00,8,32
11/14/2019 18:15,8,32
11/14/2019 18:30,8,32
11/14/2019 18:45,8,32
11/14/2019 19:00,7.8,31.2
11/14/2019 19:15,7.8,31.2
11/14/2019 19:30,8.8,35.2
11/14/2019 19:45,7.8,31.2
11/14/2019 20:00,8.2,32.8
11/14/2019 20:15,7.6,30.4
11/14/2019 20:30,8.2,32.8
11/14/2019 20:45,7.8,31.2
11/14/2019 21:00,8.2,32.8
11/14/2019 21:15,7.8,31.2
11/14/2019 21:30,8.2,32.8
11/14/2019 21:45,7.8,31.2
11/14/2019 22:00,8.2,32.8
11/14/2019 22:15,7.8,31.2
11/14/2019 22:30,8.2,32.8
11/14/2019 22:45,7.8,31.2
11/14/2019 23:00,8.2,32.8
11/14/2019 23:15,8.58,34.32
11/14/2019 23:30,8.2,32.8
11/14/2019 23:45,7.6,30.4
11/15/2019 0:00,8.2,32.8
11/15/2019 0:15,8,32
11/15/2019 0:30,8.2,32.8
11/15/2019 0:45,7.8,31.2
11/15/2019 1:00,8,32
11/15/2019 1:15,8,32
11/15/2019 1:30,8,32
11/15/2019 1:45,8,32
11/15/2019 2:00,8.2,32.8
11/15/2019 2:15,7.8,31.2
11/15/2019 2:30,8.2,32.8
11/15/2019 2:45,8.4,33.6
11/15/2019 3:00,8.2,32.8
11/15/2019 3:15,8,32
11/15/2019 3:30,8,32
11/15/2019 3:45,8,32
11/15/2019 4:00,8,32
11/15/2019 4:15,8,32
11/15/2019 4:30,8,32
11/15/2019 4:45,8,32
11/15/2019 5:00,8,32
11/15/2019 5:15,8,32
11/15/2019 5:30,7.8,31.2
11/15/2019 5:45,8,32
11/15/2019 6:00,8,32
11/15/2019 6:15,8.2,32.8
11/15/2019 6:30,9,36
11/15/2019 6:45,8.2,32.8
11/15/2019 7:00,8.8,35.2
11/15/2019 7:15,9,36
11/15/2019 7:30,9,36
11/15/2019 7:45,9.4,37.6
11/15/2019 8:00,9.2,36.8
11/15/2019 8:15,9.2,36.8
11/15/2019 8:30,9.2,36.8
11/15/2019 8:45,9.4,37.6
11/15/2019 9:00,9.4,37.6
11/15/2019 9:15,9,36
11/15/2019 9:30,9.6,38.4
11/15/2019 9:45,9.4,37.6
11/15/2019 10:00,9.2,36.8
11/15/2019 10:15,9.4,37.6
11/15/2019 10:30,9.8,39.2
11/15/2019 10:45,9.4,37.6
11/15/2019 11:00,9.2,36.8
11/15/2019 11:15,9.6,38.4
11/15/2019 11:30,9.2,36.8
11/15/2019 11:45,8.8,35.2
11/15/2019 12:00,8.58,34.32
11/15/2019 12:15,8.58,34.32
11/15/2019 12:30,8.8,35.2
11/15/2019 12:45,9,36
11/15/2019 13:00,9,36
11/15/2019 13:15,9.2,36.8
11/15/2019 13:30,9,36
11/15/2019 13:45,9,36
11/15/2019 14:00,9,36
11/15/2019 14:15,8.8,35.2
11/15/2019 14:30,8.4,33.6
11/15/2019 14:45,8.4,33.6
11/15/2019 15:00,8.4,33.6
11/15/2019 15:15,7.6,30.4
11/15/2019 15:30,7.8,31.2
11/15/2019 15:45,7.6,30.4
11/15/2019 16:00,7.6,30.4
11/15/2019 16:15,7.4,29.6
11/15/2019 16:30,7.4,29.6
11/15/2019 16:45,7.6,30.4
11/15/2019 17:00,7.2,28.8
11/15/2019 17:15,7.6,30.4
11/15/2019 17:30,7.2,28.8
11/15/2019 17:45,7.8,31.2
11/15/2019 18:00,7.4,29.6
11/15/2019 18:15,7.4,29.6
11/15/2019 18:30,7.4,29.6
11/15/2019 18:45,7.4,29.6
11/15/2019 19:00,7.6,30.4
11/15/2019 19:15,7.4,29.6
11/15/2019 19:30,7.8,31.2
11/15/2019 19:45,7.6,30.4
11/15/2019 20:00,7.6,30.4
11/15/2019 20:15,7.2,28.8
11/15/2019 20:30,7.6,30.4
11/15/2019 20:45,7.4,29.6
11/15/2019 21:00,7.6,30.4
11/15/2019 21:15,7.4,29.6
11/15/2019 21:30,7.6,30.4
11/15/2019 21:45,7.4,29.6
11/15/2019 22:00,7.6,30.4
11/15/2019 22:15,7.4,29.6
11/15/2019 22:30,7.6,30.4
11/15/2019 22:45,7.4,29.6
11/15/2019 23:00,7.4,29.6
11/15/2019 23:15,8.2,32.8
11/15/2019 23:30,7.4,29.6
11/15/2019 23:45,7.6,30.4
11/16/2019 0:00,7.4,29.6
11/16/2019 0:15,7.4,29.6
11/16/2019 0:30,7.4,29.6
11/16/2019 0:45,7.4,29.6
11/16/2019 1:00,7.6,30.4
11/16/2019 1:15,7.4,29.6
11/16/2019 1:30,7.4,29.6
11/16/2019 1:45,7.4,29.6
11/16/2019 2:00,7.6,30.4
11/16/2019 2:15,7.4,29.6
11/16/2019 2:30,7.4,29.6
11/16/2019 2:45,8.2,32.8
11/16/2019 3:00,7.4,29.6
11/16/2019 3:15,7.4,29.6
11/16/2019 3:30,7.4,29.6
11/16/2019 3:45,7.4,29.6
11/16/2019 4:00,7.4,29.6
11/16/2019 4:15,7.6,30.4
11/16/2019 4:30,7.4,29.6
11/16/2019 4:45,7.4,29.6
11/16/2019 5:00,7.4,29.6
11/16/2019 5:15,7.6,30.4
11/16/2019 5:30,7.4,29.6
11/16/2019 5:45,7.4,29.6
11/16/2019 6:00,7.4,29.6
11/16/2019 6:15,8.2,32.8
11/16/2019 6:30,7.4,29.6
11/16/2019 6:45,7.4,29.6
11/16/2019 7:00,7.4,29.6
11/16/2019 7:15,7.6,30.4
11/16/2019 7:30,7.4,29.6
11/16/2019 7:45,7.4,29.6
11/16/2019 8:00,7.4,29.6
11/16/2019 8:15,7.4,29.6
11/16/2019 8:30,7.6,30.4
11/16/2019 8:45,7.4,29.6
11/16/2019 9:00,7.6,30.4
11/16/2019 9:15,7.4,29.6
11/16/2019 9:30,8.2,32.8
11/16/2019 9:45,7.4,29.6
11/16/2019 10:00,7.6,30.4
11/16/2019 10:15,7.6,30.4
11/16/2019 10:30,7.6,30.4
11/16/2019 10:45,7.4,29.6
11/16/2019 11:00,7.4,29.6
11/16/2019 11:15,7.6,30.4
11/16/2019 11:30,7.4,29.6
11/16/2019 11:45,7.6,30.4
11/16/2019 12:00,7.4,29.6
11/16/2019 12:15,7.6,30.4
11/16/2019 12:30,7.4,29.6
11/16/2019 12:45,7.4,29.6
11/16/2019 13:00,7.6,30.4
11/16/2019 13:15,7.6,30.4
11/16/2019 13:30,7.8,31.2
11/16/2019 13:45,7.6,30.4
11/16/2019 14:00,7.2,28.8
11/16/2019 14:15,7.6,30.4
11/16/2019 14:30,7.4,29.6
