Read Date,kWh,kW
"1/1/2021 12:00:00 AM","767.3000","36.0000"
"1/2/2021 12:00:00 AM","782.8200","36.0000"
"1/3/2021 12:00:00 AM","752.5600","35.2000"
"1/4/2021 12:00:00 AM","870.4400","48.0000"
"1/5/2021 12:00:00 AM","911.9600","45.6000"
"1/6/2021 12:00:00 AM","908.4400","47.2000"
"1/7/2021 12:00:00 AM","906.5400","48.8000"
"1/8/2021 12:00:00 AM","894.1200","47.2000"
"1/9/2021 12:00:00 AM","786.8000","37.6000"
"1/10/2021 12:00:00 AM","774.0800","37.6000"
"1/11/2021 12:00:00 AM","923.5600","52.8000"
"1/12/2021 12:00:00 AM","918.7400","48.8000"
"1/13/2021 12:00:00 AM","951.3400","56.7200"
"1/14/2021 12:00:00 AM","906.6800","48.8000"
"1/15/2021 12:00:00 AM","904.3200","48.8000"
"1/16/2021 12:00:00 AM","809.7800","40.0000"
"1/17/2021 12:00:00 AM","816.7000","42.4000"
"1/18/2021 12:00:00 AM","818.8200","40.0000"
"1/19/2021 12:00:00 AM","916.3800","49.6000"
"1/20/2021 12:00:00 AM","890.0600","48.8000"
"1/21/2021 12:00:00 AM","901.7800","47.2000"
"1/22/2021 12:00:00 AM","911.3200","51.2000"
"1/23/2021 12:00:00 AM","818.4200","38.4000"
"1/24/2021 12:00:00 AM","823.7400","41.6000"
"1/25/2021 12:00:00 AM","933.6000","48.0000"
"1/26/2021 12:00:00 AM","936.7600","50.4000"
"1/27/2021 12:00:00 AM","927.6000","51.2000"
"1/28/2021 12:00:00 AM","916.2400","46.4000"
"1/29/2021 12:00:00 AM","950.4200","52.8000"
"1/30/2021 12:00:00 AM","844.0800","39.2000"
"1/31/2021 12:00:00 AM","824.0600","42.4000"
"2/1/2021 12:00:00 AM","928.7800","50.4000"
"2/2/2021 12:00:00 AM","958.1600","50.4000"
"2/3/2021 12:00:00 AM","930.9200","51.2000"
"2/4/2021 12:00:00 AM","917.5800","48.8000"
"2/5/2021 12:00:00 AM","904.3800","48.0000"
"2/6/2021 12:00:00 AM","834.1800","44.0000"
