Read Date,kWh,kW
"1/1/2020 12:00:00 AM","662.0000","28.8000"
"1/2/2020 12:00:00 AM","679.4000","32.8000"
"1/4/2020 12:00:00 AM","660.2000","28.8000"
"1/5/2020 12:00:00 AM","668.6000","28.8000"
"1/6/2020 12:00:00 AM","679.0000","32.0000"
"1/7/2020 12:00:00 AM","682.0000","32.8000"
"1/8/2020 12:00:00 AM","673.2000","31.2000"
"1/9/2020 12:00:00 AM","645.0000","32.8000"
"1/10/2020 12:00:00 AM","626.2000","30.4000"
"1/11/2020 12:00:00 AM","612.0000","26.4000"
"1/12/2020 12:00:00 AM","609.4000","26.4000"
"1/13/2020 12:00:00 AM","644.8000","31.2000"
"1/14/2020 12:00:00 AM","632.6000","32.0000"
"1/15/2020 12:00:00 AM","635.0000","32.0000"
"1/16/2020 12:00:00 AM","647.8000","32.0000"
"1/17/2020 12:00:00 AM","647.2000","31.2000"
"1/18/2020 12:00:00 AM","624.0000","27.2000"
"1/19/2020 12:00:00 AM","633.2000","27.2000"
"1/20/2020 12:00:00 AM","654.2000","30.4000"
"1/21/2020 12:00:00 AM","664.8000","30.4000"
"1/22/2020 12:00:00 AM","669.6000","31.2000"
"1/23/2020 12:00:00 AM","650.0000","31.2000"
"1/24/2020 12:00:00 AM","645.0000","32.0000"
"1/25/2020 12:00:00 AM","634.2000","27.2000"
"1/26/2020 12:00:00 AM","634.4000","28.0000"
"1/27/2020 12:00:00 AM","649.8000","30.4000"
"1/28/2020 12:00:00 AM","661.8000","32.0000"
"1/29/2020 12:00:00 AM","666.4000","30.4000"
"1/30/2020 12:00:00 AM","662.8000","32.0000"
"1/31/2020 12:00:00 AM","653.4000","32.0000"
"2/1/2020 12:00:00 AM","628.8000","27.2000"
"2/2/2020 12:00:00 AM","621.4000","27.2000"
"2/3/2020 12:00:00 AM","633.8000","29.6000"
"2/4/2020 12:00:00 AM","650.6000","32.0000"
"2/5/2020 12:00:00 AM","676.4000","35.2000"
"2/6/2020 12:00:00 AM","698.3400","34.3200"
"2/7/2020 12:00:00 AM","674.6000","32.0000"
"2/8/2020 12:00:00 AM","678.2000","29.6000"
"2/9/2020 12:00:00 AM","677.4000","28.8000"
"2/10/2020 12:00:00 AM","707.4400","36.8000"
"2/11/2020 12:00:00 AM","719.2400","37.6000"
"2/12/2020 12:00:00 AM","704.1800","34.3200"
"2/13/2020 12:00:00 AM","707.5800","39.2000"
"2/14/2020 12:00:00 AM","643.2000","31.2000"
"2/15/2020 12:00:00 AM","587.6000","26.4000"
"2/16/2020 12:00:00 AM","575.2000","24.8000"
"2/17/2020 12:00:00 AM","597.8000","28.8000"
"2/18/2020 12:00:00 AM","653.1600","35.2000"
"2/19/2020 12:00:00 AM","639.0000","33.6000"
