,day,kWh,kW,occupied,kw_per_person,kw_per_sq_ft,week,Date,max_temp,min_temp,average_temp
0,0,"1,439.9760",80.64,0.0,0.5448648648648649,1.4425760286225402,0,2020-01-01,49.1,35.2,41.1
1,1,"1,325.8080",68.064,0.0,0.45989189189189184,1.217602862254025,0,2020-01-02,53.1,38.3,46.7
2,2,"1,340.0880",71.04,0.0,0.48000000000000004,1.270840787119857,0,2020-01-04,50.8,36.1,41.8
3,3,"1,432.7040",69.12,0.0,0.46702702702702703,1.2364937388193202,0,2020-01-05,48.8,31.1,39.7
4,4,"1,570.9921",101.76,1.0,0.6875675675675677,1.8203935599284438,0,2020-01-06,49.0,30.0,38.9
5,5,"1,686.6240",124.8,1.0,0.8432432432432432,2.2325581395348837,0,2020-01-07,50.1,35.2,41.2
6,6,"1,793.6400",105.6,1.0,0.7135135135135134,1.889087656529517,0,2020-01-08,47.5,33.3,39.5
7,7,"1,710.5520",118.08,1.0,0.7978378378378378,2.1123434704830055,1,2020-01-09,59.3,31.8,46.6
8,8,"1,525.1281",96.96,1.0,0.6551351351351351,1.734525939177102,1,2020-01-10,66.2,56.3,60.6
9,9,"1,557.7200",127.68,1.0,0.8627027027027028,2.284078711985689,1,2020-01-11,72.4,50.5,63.5
10,10,"1,608.6240",102.72,1.0,0.6940540540540541,1.837567084078712,1,2020-01-12,48.4,39.1,43.2
11,11,"1,680.5280",116.16,1.0,0.7848648648648648,2.0779964221824687,1,2020-01-13,48.7,36.2,41.8
12,12,"1,613.9280",116.16,1.0,0.7848648648648648,2.0779964221824687,1,2020-01-14,55.4,40.1,49.8
13,13,"1,562.7360",110.4,1.0,0.745945945945946,1.9749552772808587,1,2020-01-15,67.0,36.5,52.2
14,14,"1,721.3521",100.8,1.0,0.681081081081081,1.8032200357781754,2,2020-01-16,48.3,30.7,41.0
15,15,"1,856.6641",120.96,1.0,0.8172972972972973,2.1638640429338105,2,2020-01-17,37.2,25.8,31.4
16,16,"1,758.1440",117.12,1.0,0.7913513513513514,2.0951699463327373,2,2020-01-18,53.1,37.9,46.6
17,17,"2,056.5840",152.64,1.0,1.0313513513513513,2.7305903398926654,2,2020-01-19,35.7,17.3,25.0
18,18,"2,294.5920",133.44,1.0,0.9016216216216216,2.3871198568872987,2,2020-01-20,26.9,15.5,21.0
19,19,"2,079.1440",134.4,1.0,0.9081081081081082,2.4042933810375673,2,2020-01-21,32.4,21.5,26.2
20,20,"2,026.4160",150.72,1.0,1.0183783783783784,2.696243291592129,2,2020-01-22,41.7,16.6,28.9
21,21,"1,852.8000",103.68,1.0,0.7005405405405406,1.8547406082289806,3,2020-01-23,49.9,33.1,40.2
22,22,"1,684.9440",126.72,1.0,0.8562162162162162,2.2669051878354205,3,2020-01-24,49.6,41.3,44.9
23,23,"1,850.3521",112.32,1.0,0.7589189189189188,2.009302325581395,3,2020-01-25,40.1,34.3,36.5
24,24,"1,855.0320",129.6,1.0,0.8756756756756756,2.3184257602862255,3,2020-01-26,44.8,33.1,38.1
25,25,"1,785.5280",118.08,1.0,0.7978378378378378,2.1123434704830055,3,2020-01-27,46.9,33.5,40.1
26,26,"1,866.7920",102.72,1.0,0.6940540540540541,1.837567084078712,3,2020-01-28,36.7,32.5,34.8
27,27,"1,724.1600",93.12,1.0,0.6291891891891892,1.6658318425760288,3,2020-01-29,37.6,31.6,34.6
28,28,"1,629.1680",107.52,1.0,0.7264864864864865,1.9234347048300537,4,2020-01-30,43.4,30.3,36.5
29,29,"1,640.7600",94.08,1.0,0.6356756756756756,1.683005366726297,4,2020-01-31,41.5,34.8,37.9
30,30,"1,647.8640",87.36,1.0,0.5902702702702702,1.5627906976744186,4,2020-02-01,42.3,35.9,38.6
31,31,"1,585.8000",87.36,1.0,0.5902702702702702,1.5627906976744186,4,2020-02-02,62.4,31.7,45.6
32,32,"1,520.5441",100.8,1.0,0.681081081081081,1.8032200357781754,4,2020-02-03,65.5,45.1,55.7
33,33,"1,657.1520",101.76,1.0,0.6875675675675677,1.8203935599284438,4,2020-02-04,62.8,42.0,55.4
34,34,"1,778.0400",135.264,1.0,0.913945945945946,2.419749552772809,4,2020-02-05,39.2,33.8,36.0
35,35,"1,888.0560",135.264,1.0,0.913945945945946,2.419749552772809,5,2020-02-06,37.1,31.1,35.1
36,36,"2,198.3040",131.52,1.0,0.8886486486486487,2.3527728085867623,5,2020-02-07,31.2,25.6,28.7
37,37,"2,292.2400",149.76,1.0,1.0118918918918918,2.6790697674418604,5,2020-02-08,37.2,27.2,31.6
38,38,"2,236.7761",136.224,1.0,0.9204324324324323,2.436923076923077,5,2020-02-09,49.9,21.8,36.4
39,39,"1,983.9840",128.64,1.0,0.8691891891891891,2.301252236135957,5,2020-02-10,51.1,42.0,47.5
40,40,"2,173.1040",141.12,1.0,0.9535135135135135,2.5245080500894455,5,2020-02-11,41.0,35.1,37.9
41,41,"2,174.9761",141.12,1.0,0.9535135135135135,2.5245080500894455,5,2020-02-12,38.4,31.5,35.7
42,42,"2,356.5840",159.36,1.0,1.0767567567567569,2.850805008944544,6,2020-02-13,37.6,24.4,34.8
43,43,"2,172.9121",145.92,1.0,0.9859459459459459,2.610375670840787,6,2020-02-14,25.2,15.8,19.9
44,44,"2,108.4719",123.84,1.0,0.8367567567567568,2.2153846153846155,6,2020-02-15,45.5,13.7,29.4
45,45,"1,883.2321",131.52,1.0,0.8886486486486487,2.3527728085867623,6,2020-02-16,49.2,33.7,42.4
46,46,"1,937.1600",128.64,1.0,0.8691891891891891,2.301252236135957,6,2020-02-17,54.9,31.3,43.7
47,47,"1,712.7120",120.0,1.0,0.8108108108108109,2.146690518783542,6,2020-02-18,55.4,37.5,48.8
48,48,"1,853.0160",124.8,1.0,0.8432432432432432,2.2325581395348837,6,2020-02-19,45.2,27.5,35.8
49,49,"2,014.1281",136.224,1.0,0.9204324324324323,2.436923076923077,7,2020-02-20,37.7,22.9,32.1
50,50,"2,129.0161",128.64,1.0,0.8691891891891891,2.301252236135957,7,2020-02-21,36.7,15.2,25.3
51,51,"2,026.0560",129.6,1.0,0.8756756756756756,2.3184257602862255,7,2020-02-22,48.6,19.2,33.3
52,52,"1,841.1840",108.48,1.0,0.732972972972973,1.9406082289803221,7,2020-02-23,56.7,28.3,41.7
53,53,"1,821.0480",126.72,1.0,0.8562162162162162,2.2669051878354205,7,2020-02-24,45.5,41.0,43.8
54,54,"1,735.0081",111.36,1.0,0.7524324324324324,1.9921288014311271,7,2020-02-25,52.5,45.9,49.5
55,55,"1,859.5439",129.6,1.0,0.8756756756756756,2.3184257602862255,7,2020-02-26,46.5,29.3,39.3
56,56,"2,095.2720",140.16,1.0,0.947027027027027,2.5073345259391773,8,2020-02-27,36.1,25.8,30.3
