Read Date,kWh,kW
"1/1/2020 12:00:00 AM","1,439.9760","80.6400"
"1/2/2020 12:00:00 AM","1,325.8080","68.0640"
"1/4/2020 12:00:00 AM","1,340.0880","71.0400"
"1/5/2020 12:00:00 AM","1,432.7040","69.1200"
"1/6/2020 12:00:00 AM","1,570.9921","101.7600"
"1/7/2020 12:00:00 AM","1,686.6240","124.8000"
"1/8/2020 12:00:00 AM","1,793.6400","105.6000"
"1/9/2020 12:00:00 AM","1,710.5520","118.0800"
"1/10/2020 12:00:00 AM","1,525.1281","96.9600"
"1/11/2020 12:00:00 AM","1,557.7200","127.6800"
"1/12/2020 12:00:00 AM","1,608.6240","102.7200"
"1/13/2020 12:00:00 AM","1,680.5280","116.1600"
"1/14/2020 12:00:00 AM","1,613.9280","116.1600"
"1/15/2020 12:00:00 AM","1,562.7360","110.4000"
"1/16/2020 12:00:00 AM","1,721.3521","100.8000"
"1/17/2020 12:00:00 AM","1,856.6641","120.9600"
"1/18/2020 12:00:00 AM","1,758.1440","117.1200"
"1/19/2020 12:00:00 AM","2,056.5840","152.6400"
"1/20/2020 12:00:00 AM","2,294.5920","133.4400"
"1/21/2020 12:00:00 AM","2,079.1440","134.4000"
"1/22/2020 12:00:00 AM","2,026.4160","150.7200"
"1/23/2020 12:00:00 AM","1,852.8000","103.6800"
"1/24/2020 12:00:00 AM","1,684.9440","126.7200"
"1/25/2020 12:00:00 AM","1,850.3521","112.3200"
"1/26/2020 12:00:00 AM","1,855.0320","129.6000"
"1/27/2020 12:00:00 AM","1,785.5280","118.0800"
"1/28/2020 12:00:00 AM","1,866.7920","102.7200"
"1/29/2020 12:00:00 AM","1,724.1600","93.1200"
"1/30/2020 12:00:00 AM","1,629.1680","107.5200"
"1/31/2020 12:00:00 AM","1,640.7600","94.0800"
"2/1/2020 12:00:00 AM","1,647.8640","87.3600"
"2/2/2020 12:00:00 AM","1,585.8000","87.3600"
"2/3/2020 12:00:00 AM","1,520.5441","100.8000"
"2/4/2020 12:00:00 AM","1,657.1520","101.7600"
"2/5/2020 12:00:00 AM","1,778.0400","135.2640"
"2/6/2020 12:00:00 AM","1,888.0560","135.2640"
"2/7/2020 12:00:00 AM","2,198.3040","131.5200"
"2/8/2020 12:00:00 AM","2,292.2400","149.7600"
