Read Date,kWh,kW
1/1/2020 0:00,4.8,19.2
1/1/2020 0:15,4.92,19.68
1/1/2020 0:30,4.8,19.2
1/1/2020 0:45,4.92,19.68
1/1/2020 1:00,4.8,19.2
1/1/2020 1:15,4.92,19.68
1/1/2020 1:30,4.8,19.2
1/1/2020 1:45,4.92,19.68
1/1/2020 2:00,4.8,19.2
1/1/2020 2:15,4.92,19.68
1/1/2020 2:30,4.92,19.68
1/1/2020 2:45,5.04,20.16
1/1/2020 3:00,5.148,20.592
1/1/2020 3:15,4.8,19.2
1/1/2020 3:30,4.8,19.2
1/1/2020 3:45,4.8,19.2
1/1/2020 4:00,4.92,19.68
1/1/2020 4:15,4.8,19.2
1/1/2020 4:30,4.8,19.2
1/1/2020 4:45,4.8,19.2
1/1/2020 5:00,4.8,19.2
1/1/2020 5:15,4.8,19.2
1/1/2020 5:30,4.8,19.2
1/1/2020 5:45,4.8,19.2
1/1/2020 6:00,4.68,18.72
1/1/2020 6:15,4.8,19.2
1/1/2020 6:30,4.8,19.2
1/1/2020 6:45,4.8,19.2
1/1/2020 7:00,4.8,19.2
1/1/2020 7:15,4.8,19.2
1/1/2020 7:30,4.68,18.72
1/1/2020 7:45,4.8,19.2
1/1/2020 8:00,4.92,19.68
1/1/2020 8:15,5.148,20.592
1/1/2020 8:30,4.8,19.2
1/1/2020 8:45,4.8,19.2
1/1/2020 9:00,4.68,18.72
1/1/2020 9:15,4.8,19.2
1/1/2020 9:30,4.44,17.76
1/1/2020 9:45,4.08,16.32
1/1/2020 10:00,4.08,16.32
1/1/2020 10:15,4.2,16.8
1/1/2020 10:30,3.96,15.84
1/1/2020 10:45,4.08,16.32
1/1/2020 11:00,4.08,16.32
1/1/2020 11:15,4.08,16.32
1/1/2020 11:30,3.96,15.84
1/1/2020 11:45,4.08,16.32
1/1/2020 12:00,4.08,16.32
1/1/2020 12:15,4.08,16.32
1/1/2020 12:30,4.2,16.8
1/1/2020 12:45,3.96,15.84
1/1/2020 13:00,4.08,16.32
1/1/2020 13:15,4.56,18.24
1/1/2020 13:30,4.2,16.8
1/1/2020 13:45,4.2,16.8
1/1/2020 14:00,3.96,15.84
1/1/2020 14:15,3.84,15.36
1/1/2020 14:30,3.36,13.44
1/1/2020 14:45,3.24,12.96
1/1/2020 15:00,3.36,13.44
1/1/2020 15:15,3.84,15.36
1/1/2020 15:30,3.96,15.84
1/1/2020 15:45,4.32,17.28
1/1/2020 16:00,6.108,24.432
1/1/2020 16:15,5.88,23.52
1/1/2020 16:30,4.68,18.72
1/1/2020 16:45,4.2,16.8
1/1/2020 17:00,3.96,15.84
1/1/2020 17:15,4.32,17.28
1/1/2020 17:30,4.44,17.76
1/1/2020 17:45,3.84,15.36
1/1/2020 18:00,4.2,16.8
1/1/2020 18:15,4.44,17.76
1/1/2020 18:30,4.44,17.76
1/1/2020 18:45,4.2,16.8
1/1/2020 19:00,4.44,17.76
1/1/2020 19:15,4.56,18.24
1/1/2020 19:30,4.44,17.76
1/1/2020 19:45,4.56,18.24
1/1/2020 20:00,4.2,16.8
1/1/2020 20:15,3.84,15.36
1/1/2020 20:30,4.56,18.24
1/1/2020 20:45,4.44,17.76
1/1/2020 21:00,4.56,18.24
1/1/2020 21:15,4.56,18.24
1/1/2020 21:30,4.56,18.24
1/1/2020 21:45,4.2,16.8
1/1/2020 22:00,3.84,15.36
1/1/2020 22:15,4.44,17.76
1/1/2020 22:30,4.56,18.24
1/1/2020 22:45,4.56,18.24
1/1/2020 23:00,4.56,18.24
1/1/2020 23:15,4.68,18.72
1/1/2020 23:30,4.44,17.76
1/1/2020 23:45,5.04,20.16
1/2/2020 0:00,3.96,15.84
1/2/2020 0:15,4.44,17.76
1/2/2020 0:30,4.56,18.24
1/2/2020 0:45,4.56,18.24
1/2/2020 1:00,4.56,18.24
1/2/2020 1:15,4.56,18.24
1/2/2020 1:30,4.68,18.72
1/2/2020 1:45,3.72,14.88
1/2/2020 2:00,4.44,17.76
1/2/2020 2:15,4.56,18.24
1/2/2020 2:30,4.56,18.24
1/2/2020 2:45,4.56,18.24
1/2/2020 3:00,4.56,18.24
1/2/2020 3:15,4.56,18.24
1/2/2020 3:30,4.56,18.24
1/2/2020 3:45,4.56,18.24
1/2/2020 4:00,4.56,18.24
1/2/2020 4:15,4.56,18.24
1/2/2020 4:30,4.08,16.32
1/2/2020 4:45,4.08,16.32
1/2/2020 5:00,4.44,17.76
1/2/2020 5:15,5.148,20.592
1/2/2020 5:30,4.56,18.24
1/2/2020 5:45,4.44,17.76
1/2/2020 6:00,4.56,18.24
1/2/2020 6:15,4.44,17.76
1/2/2020 6:30,4.56,18.24
1/2/2020 6:45,3.84,15.36
