Read Date,kWh,kW
"1/1/2021 12:00:00 AM","357.6000","18.2400"
"1/2/2021 12:00:00 AM","361.2000","18.2400"
"1/3/2021 12:00:00 AM","398.4960","31.6800"
"1/4/2021 12:00:00 AM","364.2000","18.2400"
"1/5/2021 12:00:00 AM","384.7200","19.2000"
"1/6/2021 12:00:00 AM","401.7600","20.1600"
"1/7/2021 12:00:00 AM","379.4400","18.7200"
"1/8/2021 12:00:00 AM","378.0000","18.7200"
"1/9/2021 12:00:00 AM","386.8800","18.7200"
"1/10/2021 12:00:00 AM","387.9480","25.9200"
"1/11/2021 12:00:00 AM","408.8280","31.2000"
"1/12/2021 12:00:00 AM","398.2560","21.1200"
"1/13/2021 12:00:00 AM","382.5480","20.5920"
"1/14/2021 12:00:00 AM","374.3760","22.0800"
"1/15/2021 12:00:00 AM","406.8960","27.3600"
"1/16/2021 12:00:00 AM","400.5480","23.5200"
"1/17/2021 12:00:00 AM","413.4960","25.4400"
"1/18/2021 12:00:00 AM","396.8400","20.1600"
"1/19/2021 12:00:00 AM","387.5880","23.5200"
"1/20/2021 12:00:00 AM","380.0400","20.1600"
"1/21/2021 12:00:00 AM","408.7200","31.2000"
"1/22/2021 12:00:00 AM","386.4000","28.8000"
"1/23/2021 12:00:00 AM","373.8000","18.2400"
"1/24/2021 12:00:00 AM","402.7080","25.9200"
"1/25/2021 12:00:00 AM","383.8800","24.9600"
"1/26/2021 12:00:00 AM","351.8400","18.7200"
"1/27/2021 12:00:00 AM","403.6320","27.3600"
"1/28/2021 12:00:00 AM","435.4560","26.4000"
"1/29/2021 12:00:00 AM","405.1200","24.9600"
"1/30/2021 12:00:00 AM","405.4800","25.4400"
"1/31/2021 12:00:00 AM","385.6800","18.7200"
"2/1/2021 12:00:00 AM","407.6160","24.4320"
"2/2/2021 12:00:00 AM","401.6400","27.3600"
"2/3/2021 12:00:00 AM","405.2400","24.0000"
"2/4/2021 12:00:00 AM","433.8960","37.9200"
"2/5/2021 12:00:00 AM","381.9480","24.0000"
"2/6/2021 12:00:00 AM","357.7200","29.2800"
"2/7/2021 12:00:00 AM","393.3360","34.5600"
"2/8/2021 12:00:00 AM","370.6680","20.5920"
"2/9/2021 12:00:00 AM","436.7880","31.6800"
"2/10/2021 12:00:00 AM","440.3520","35.0400"
"2/11/2021 12:00:00 AM","419.0160","25.9200"
"2/12/2021 12:00:00 AM","447.2760","31.2000"
"2/13/2021 12:00:00 AM","443.8320","33.1200"
"2/14/2021 12:00:00 AM","484.3440","36.4800"
"2/15/2021 12:00:00 AM","460.6200","31.6800"
"2/16/2021 12:00:00 AM","445.0320","32.6400"
"2/17/2021 12:00:00 AM","464.7360","33.6000"
"2/18/2021 12:00:00 AM","490.2360","37.9200"
"2/19/2021 12:00:00 AM","440.7360","31.2000"
"2/20/2021 12:00:00 AM","434.3760","31.2000"
"2/21/2021 12:00:00 AM","435.6840","33.1200"
"2/22/2021 12:00:00 AM","437.0160","34.5600"
"2/23/2021 12:00:00 AM","385.4280","23.0400"
"2/24/2021 12:00:00 AM","381.1920","24.9600"
"2/25/2021 12:00:00 AM","409.2840","32.1600"
"2/26/2021 12:00:00 AM","429.9240","30.7200"
"2/27/2021 12:00:00 AM","393.2400","29.2800"
"2/28/2021 12:00:00 AM","339.9600","23.0400"
"3/1/2021 12:00:00 AM","379.5480","23.0400"
"3/2/2021 12:00:00 AM","473.2200","33.6000"
"3/3/2021 12:00:00 AM","407.0040","26.4000"
"3/4/2021 12:00:00 AM","405.5760","32.6400"
"3/5/2021 12:00:00 AM","375.5880","21.1200"
"3/6/2021 12:00:00 AM","368.7600","27.8400"
"3/7/2021 12:00:00 AM","411.0960","31.6800"
"3/8/2021 12:00:00 AM","398.3760","33.6000"
"3/9/2021 12:00:00 AM","372.7200","23.0400"
"3/10/2021 12:00:00 AM","332.7600","26.4000"
"3/11/2021 12:00:00 AM","362.7600","28.8000"
"3/12/2021 12:00:00 AM","335.8680","27.3600"
"3/13/2021 12:00:00 AM","357.3600","29.2800"
"3/14/2021 12:00:00 AM","349.6560","21.1200"
"3/15/2021 12:00:00 AM","410.2680","27.8400"
"3/16/2021 12:00:00 AM","381.4680","28.3200"
"3/17/2021 12:00:00 AM","344.7600","28.3200"
"3/18/2021 12:00:00 AM","350.4000","31.6800"
"3/19/2021 12:00:00 AM","376.4160","24.0000"
"3/20/2021 12:00:00 AM","14.6400","15.3600"
"3/21/2021 12:00:00 AM","350.2560","25.4400"
"3/22/2021 12:00:00 AM","372.0720","27.3600"
"3/23/2021 12:00:00 AM","333.9480","20.5920"
"3/24/2021 12:00:00 AM","330.3480","23.5200"
"3/25/2021 12:00:00 AM","351.4680","24.9600"
"3/26/2021 12:00:00 AM","342.3240","24.4320"
