,day,kWh,kW,occupied,kw_per_person,kw_per_sq_ft,week,Date,max_temp,min_temp,average_temp
0,0,792.2000,36.0,0.0,0.375,1.7374517374517375,0,2020-01-01,49.1,35.2,41.1
1,1,782.0600,36.8,0.0,0.3833333333333333,1.776061776061776,0,2020-01-02,53.1,38.3,46.7
2,2,776.4600,35.2,0.0,0.3666666666666667,1.698841698841699,0,2020-01-04,50.8,36.1,41.8
3,3,816.2400,49.6,0.0,0.5166666666666667,2.393822393822394,0,2020-01-05,48.8,31.1,39.7
4,4,927.6400,56.0,1.0,0.5833333333333334,2.7027027027027026,0,2020-01-06,49.0,30.0,38.9
5,5,921.0400,47.2,1.0,0.4916666666666667,2.2779922779922783,0,2020-01-07,50.1,35.2,41.2
6,6,937.4200,52.8,1.0,0.5499999999999999,2.548262548262548,0,2020-01-08,47.5,33.3,39.5
7,7,974.9400,60.0,1.0,0.625,2.8957528957528957,1,2020-01-09,59.3,31.8,46.6
8,8,"1,009.3400",56.72,1.0,0.5908333333333333,2.7374517374517375,1,2020-01-10,66.2,56.3,60.6
9,9,"1,055.3000",60.8,1.0,0.6333333333333333,2.9343629343629343,1,2020-01-11,72.4,50.5,63.5
10,10,"1,124.5601",65.6,1.0,0.6833333333333332,3.166023166023166,1,2020-01-12,48.4,39.1,43.2
11,11,"1,059.0000",68.72,1.0,0.7158333333333333,3.316602316602317,1,2020-01-13,48.7,36.2,41.8
12,12,"1,037.9200",63.2,1.0,0.6583333333333333,3.0501930501930503,1,2020-01-14,55.4,40.1,49.8
13,13,"1,033.1400",64.0,1.0,0.6666666666666666,3.088803088803089,1,2020-01-15,67.0,36.5,52.2
14,14,"1,066.8400",64.0,1.0,0.6666666666666666,3.088803088803089,2,2020-01-16,48.3,30.7,41.0
15,15,"1,024.8400",64.0,1.0,0.6666666666666666,3.088803088803089,2,2020-01-17,37.2,25.8,31.4
16,16,"1,091.5800",64.0,1.0,0.6666666666666666,3.088803088803089,2,2020-01-18,53.1,37.9,46.6
17,17,"1,097.4399",66.4,1.0,0.6916666666666668,3.204633204633205,2,2020-01-19,35.7,17.3,25.0
18,18,"1,085.4000",65.6,1.0,0.6833333333333332,3.166023166023166,2,2020-01-20,26.9,15.5,21.0
19,19,"1,075.4200",64.0,1.0,0.6666666666666666,3.088803088803089,2,2020-01-21,32.4,21.5,26.2
20,20,"1,033.4401",63.2,1.0,0.6583333333333333,3.0501930501930503,2,2020-01-22,41.7,16.6,28.9
21,21,"1,045.8400",68.72,1.0,0.7158333333333333,3.316602316602317,3,2020-01-23,49.9,33.1,40.2
22,22,"1,081.4200",64.8,1.0,0.6749999999999999,3.1274131274131274,3,2020-01-24,49.6,41.3,44.9
23,23,"1,034.7400",60.8,1.0,0.6333333333333333,2.9343629343629343,3,2020-01-25,40.1,34.3,36.5
24,24,"1,098.2800",64.8,1.0,0.6749999999999999,3.1274131274131274,3,2020-01-26,44.8,33.1,38.1
25,25,"1,087.3800",66.4,1.0,0.6916666666666668,3.204633204633205,3,2020-01-27,46.9,33.5,40.1
26,26,965.0600,52.8,1.0,0.5499999999999999,2.548262548262548,3,2020-01-28,36.7,32.5,34.8
27,27,873.2000,48.0,1.0,0.5,2.316602316602317,3,2020-01-29,37.6,31.6,34.6
28,28,862.3800,46.4,1.0,0.48333333333333334,2.2393822393822393,4,2020-01-30,43.4,30.3,36.5
29,29,857.4800,45.6,1.0,0.47500000000000003,2.200772200772201,4,2020-01-31,41.5,34.8,37.9
30,30,842.4600,53.6,1.0,0.5583333333333333,2.586872586872587,4,2020-02-01,42.3,35.9,38.6
31,31,817.3600,45.6,1.0,0.47500000000000003,2.200772200772201,4,2020-02-02,62.4,31.7,45.6
32,32,863.5000,55.2,1.0,0.5750000000000001,2.6640926640926645,4,2020-02-03,65.5,45.1,55.7
33,33,"1,033.0599",60.0,1.0,0.625,2.8957528957528957,4,2020-02-04,62.8,42.0,55.4
34,34,957.9600,60.0,1.0,0.625,2.8957528957528957,4,2020-02-05,39.2,33.8,36.0
35,35,"1,001.5800",59.2,1.0,0.6166666666666667,2.8571428571428577,5,2020-02-06,37.1,31.1,35.1
36,36,964.4000,56.72,1.0,0.5908333333333333,2.7374517374517375,5,2020-02-07,31.2,25.6,28.7
37,37,"1,008.3000",59.2,1.0,0.6166666666666667,2.8571428571428577,5,2020-02-08,37.2,27.2,31.6
38,38,"1,083.5400",65.6,1.0,0.6833333333333332,3.166023166023166,5,2020-02-09,49.9,21.8,36.4
39,39,"1,077.0200",61.6,1.0,0.6416666666666667,2.9729729729729732,5,2020-02-10,51.1,42.0,47.5
40,40,"1,056.1801",61.6,1.0,0.6416666666666667,2.9729729729729732,5,2020-02-11,41.0,35.1,37.9
41,41,"1,068.1600",64.8,1.0,0.6749999999999999,3.1274131274131274,5,2020-02-12,38.4,31.5,35.7
42,42,"1,127.1400",61.6,1.0,0.6416666666666667,2.9729729729729732,6,2020-02-13,37.6,24.4,34.8
43,43,"1,046.8000",58.4,1.0,0.6083333333333333,2.8185328185328187,6,2020-02-14,25.2,15.8,19.9
44,44,"1,022.2000",59.2,1.0,0.6166666666666667,2.8571428571428577,6,2020-02-15,45.5,13.7,29.4
45,45,"1,052.4000",64.8,1.0,0.6749999999999999,3.1274131274131274,6,2020-02-16,49.2,33.7,42.4
46,46,"1,033.0599",59.2,1.0,0.6166666666666667,2.8571428571428577,6,2020-02-17,54.9,31.3,43.7
47,47,"1,010.7600",57.6,1.0,0.6,2.77992277992278,6,2020-02-18,55.4,37.5,48.8
48,48,996.6800,60.0,1.0,0.625,2.8957528957528957,6,2020-02-19,45.2,27.5,35.8
49,49,"1,140.4000",69.52,1.0,0.7241666666666666,3.3552123552123554,7,2020-02-20,37.7,22.9,32.1
50,50,"1,089.4399",60.8,1.0,0.6333333333333333,2.9343629343629343,7,2020-02-21,36.7,15.2,25.3
51,51,"1,021.5800",61.6,1.0,0.6416666666666667,2.9729729729729732,7,2020-02-22,48.6,19.2,33.3
52,52,"1,102.8000",66.4,1.0,0.6916666666666668,3.204633204633205,7,2020-02-23,56.7,28.3,41.7
53,53,"1,063.5800",60.0,1.0,0.625,2.8957528957528957,7,2020-02-24,45.5,41.0,43.8
54,54,"1,008.5600",54.4,1.0,0.5666666666666667,2.6254826254826256,7,2020-02-25,52.5,45.9,49.5
55,55,993.6200,57.6,1.0,0.6,2.77992277992278,7,2020-02-26,46.5,29.3,39.3
56,56,"1,050.6400",60.8,1.0,0.6333333333333333,2.9343629343629343,8,2020-02-27,36.1,25.8,30.3
57,57,"1,011.0000",57.6,1.0,0.6,2.77992277992278,8,2020-02-28,39.5,30.4,34.4
58,58,989.8000,57.6,1.0,0.6,2.77992277992278,8,2020-02-29,38.5,19.1,29.1
59,59,"1,042.3400",59.2,1.0,0.6166666666666667,2.8571428571428577,8,2020-03-01,63.0,25.2,44.5
60,60,999.9200,60.0,1.0,0.625,2.8957528957528957,8,2020-03-02,56.6,47.7,52.4
61,61,"1,021.8600",60.8,1.0,0.6333333333333333,2.9343629343629343,8,2020-03-03,58.0,44.7,52.6
62,62,953.3800,56.72,1.0,0.5908333333333333,2.7374517374517375,8,2020-03-04,61.9,33.0,48.1
63,63,"1,036.9800",60.8,1.0,0.6333333333333333,2.9343629343629343,9,2020-03-05,60.6,35.5,47.4
64,64,"1,033.6801",60.8,1.0,0.6333333333333333,2.9343629343629343,9,2020-03-06,50.7,34.6,38.9
65,65,"1,013.7800",60.8,1.0,0.6333333333333333,2.9343629343629343,9,2020-03-07,48.4,29.6,37.4
66,66,"1,036.2200",62.4,1.0,0.65,3.011583011583012,9,2020-03-08,64.3,30.2,46.7
67,67,998.2800,60.0,1.0,0.625,2.8957528957528957,9,2020-03-09,65.2,45.9,56.0
68,68,"1,019.6000",65.6,1.0,0.6833333333333332,3.166023166023166,9,2020-03-10,59.7,47.4,55.0
69,69,995.4600,57.6,1.0,0.6,2.77992277992278,9,2020-03-11,56.7,45.6,49.5
70,70,"1,041.9200",57.6,1.0,0.6,2.77992277992278,10,2020-03-12,67.3,40.6,55.4
71,71,"1,029.4800",56.72,1.0,0.5908333333333333,2.7374517374517375,10,2020-03-13,62.0,43.1,52.5
72,72,"1,097.5400",64.8,1.0,0.6749999999999999,3.1274131274131274,10,2020-03-14,44.0,36.1,40.4
73,73,"1,070.5000",66.4,1.0,0.6916666666666668,3.204633204633205,10,2020-03-15,40.9,34.8,38.0
74,74,907.9200,48.8,1.0,0.5083333333333333,2.3552123552123554,10,2020-03-16,46.0,38.6,42.0
75,75,784.3200,41.6,1.0,0.43333333333333335,2.0077220077220077,10,2020-03-17,51.6,40.7,45.4
76,76,724.3800,38.4,1.0,0.39999999999999997,1.8532818532818534,10,2020-03-18,63.1,38.7,52.6
77,77,714.7200,36.8,1.0,0.3833333333333333,1.776061776061776,11,2020-03-19,70.6,60.1,64.9
78,78,709.4000,37.6,0.0,0.39166666666666666,1.8146718146718148,11,2020-03-20,72.1,44.3,64.2
79,79,684.2000,41.6,0.0,0.43333333333333335,2.0077220077220077,11,2020-03-21,43.6,34.8,37.4
80,80,684.4000,32.8,0.0,0.3416666666666666,1.583011583011583,11,2020-03-22,49.8,30.3,40.1
81,81,703.7600,40.0,0.0,0.4166666666666667,1.9305019305019306,11,2020-03-23,54.4,44.1,48.4
82,82,681.3400,36.0,0.0,0.375,1.7374517374517375,11,2020-03-24,54.6,39.9,47.0
