Read Date,kWh,kW
"1/1/2020 12:00:00 AM","792.2000","36.0000"
"1/2/2020 12:00:00 AM","782.0600","36.8000"
"1/4/2020 12:00:00 AM","776.4600","35.2000"
"1/5/2020 12:00:00 AM","816.2400","49.6000"
"1/6/2020 12:00:00 AM","927.6400","56.0000"
"1/7/2020 12:00:00 AM","921.0400","47.2000"
"1/8/2020 12:00:00 AM","937.4200","52.8000"
"1/9/2020 12:00:00 AM","974.9400","60.0000"
"1/10/2020 12:00:00 AM","1,009.3400","56.7200"
"1/11/2020 12:00:00 AM","1,055.3000","60.8000"
"1/12/2020 12:00:00 AM","1,124.5601","65.6000"
"1/13/2020 12:00:00 AM","1,059.0000","68.7200"
"1/14/2020 12:00:00 AM","1,037.9200","63.2000"
"1/15/2020 12:00:00 AM","1,033.1400","64.0000"
"1/16/2020 12:00:00 AM","1,066.8400","64.0000"
"1/17/2020 12:00:00 AM","1,024.8400","64.0000"
"1/18/2020 12:00:00 AM","1,091.5800","64.0000"
"1/19/2020 12:00:00 AM","1,097.4399","66.4000"
"1/20/2020 12:00:00 AM","1,085.4000","65.6000"
"1/21/2020 12:00:00 AM","1,075.4200","64.0000"
"1/22/2020 12:00:00 AM","1,033.4401","63.2000"
"1/23/2020 12:00:00 AM","1,045.8400","68.7200"
"1/24/2020 12:00:00 AM","1,081.4200","64.8000"
"1/25/2020 12:00:00 AM","1,034.7400","60.8000"
"1/26/2020 12:00:00 AM","1,098.2800","64.8000"
"1/27/2020 12:00:00 AM","1,087.3800","66.4000"
"1/28/2020 12:00:00 AM","965.0600","52.8000"
"1/29/2020 12:00:00 AM","873.2000","48.0000"
"1/30/2020 12:00:00 AM","862.3800","46.4000"
"1/31/2020 12:00:00 AM","857.4800","45.6000"
"2/1/2020 12:00:00 AM","842.4600","53.6000"
"2/2/2020 12:00:00 AM","817.3600","45.6000"
"2/3/2020 12:00:00 AM","863.5000","55.2000"
"2/4/2020 12:00:00 AM","1,033.0599","60.0000"
"2/5/2020 12:00:00 AM","957.9600","60.0000"
"2/6/2020 12:00:00 AM","1,001.5800","59.2000"
"2/7/2020 12:00:00 AM","964.4000","56.7200"
"2/8/2020 12:00:00 AM","1,008.3000","59.2000"
"2/9/2020 12:00:00 AM","1,083.5400","65.6000"
"2/10/2020 12:00:00 AM","1,077.0200","61.6000"
"2/11/2020 12:00:00 AM","1,056.1801","61.6000"
"2/12/2020 12:00:00 AM","1,068.1600","64.8000"
"2/13/2020 12:00:00 AM","1,127.1400","61.6000"
"2/14/2020 12:00:00 AM","1,046.8000","58.4000"
"2/15/2020 12:00:00 AM","1,022.2000","59.2000"
"2/16/2020 12:00:00 AM","1,052.4000","64.8000"
"2/17/2020 12:00:00 AM","1,033.0599","59.2000"
"2/18/2020 12:00:00 AM","1,010.7600","57.6000"
"2/19/2020 12:00:00 AM","996.6800","60.0000"
"2/20/2020 12:00:00 AM","1,140.4000","69.5200"
"2/21/2020 12:00:00 AM","1,089.4399","60.8000"
"2/22/2020 12:00:00 AM","1,021.5800","61.6000"
"2/23/2020 12:00:00 AM","1,102.8000","66.4000"
"2/24/2020 12:00:00 AM","1,063.5800","60.0000"
"2/25/2020 12:00:00 AM","1,008.5600","54.4000"
"2/26/2020 12:00:00 AM","993.6200","57.6000"
"2/27/2020 12:00:00 AM","1,050.6400","60.8000"
"2/28/2020 12:00:00 AM","1,011.0000","57.6000"
"2/29/2020 12:00:00 AM","989.8000","57.6000"
"3/1/2020 12:00:00 AM","1,042.3400","59.2000"
"3/2/2020 12:00:00 AM","999.9200","60.0000"
"3/3/2020 12:00:00 AM","1,021.8600","60.8000"
"3/4/2020 12:00:00 AM","953.3800","56.7200"
"3/5/2020 12:00:00 AM","1,036.9800","60.8000"
